window_index,split,n_samples,score_-1,score_0,score_1
0,val,60,0.2185036540031433,0.5533599257469177,0.22813649475574493
1,val,101,0.2612295150756836,0.5756654739379883,0.16310501098632812
2,val,57,0.2683139443397522,0.6138086915016174,0.11787741631269455
3,val,189,0.2180628627538681,0.6604993939399719,0.12143772095441818
4,val,154,0.18900296092033386,0.6149716973304749,0.1960253268480301
5,val,82,0.3370128870010376,0.4906681478023529,0.1723189800977707
6,val,70,0.2596886157989502,0.59108567237854,0.1492256373167038
7,val,186,0.18103355169296265,0.6891897916793823,0.12977664172649384
8,val,147,0.20477135479450226,0.6366837620735168,0.15854483842849731
9,val,76,0.35668301582336426,0.5380047559738159,0.10531214624643326
10,val,53,0.21496911346912384,0.6068975925445557,0.1781332790851593
11,val,176,0.1641419529914856,0.6303635239601135,0.20549453794956207
12,val,389,0.08327576518058777,0.8084663152694702,0.10825785994529724
13,val,114,0.24393615126609802,0.6521772146224976,0.10388661175966263
14,val,73,0.18334650993347168,0.6941239833831787,0.12252947688102722
15,test,176,0.16037344932556152,0.646060585975647,0.1935659497976303
16,test,150,0.25961509346961975,0.530862033367157,0.20952290296554565
17,test,78,0.28068023920059204,0.5417119264602661,0.17760781943798065
18,test,55,0.20339491963386536,0.5789012312889099,0.21770377457141876
19,test,72,0.3009655177593231,0.5602459907531738,0.13878849148750305
20,test,72,0.3183555603027344,0.5442285537719727,0.13741591572761536
21,test,56,0.3029971122741699,0.4692921042442322,0.2277107536792755
22,test,29,0.1937357485294342,0.6992045640945435,0.10705973953008652
23,test,64,0.278794527053833,0.5681259632110596,0.1530795395374298
24,test,68,0.25710606575012207,0.5850935578346252,0.15780043601989746
25,test,79,0.28409117460250854,0.567667543888092,0.1482413113117218
26,test,62,0.3093530833721161,0.47431203722953796,0.21633489429950714
27,test,173,0.1914181113243103,0.6053230166435242,0.20325882732868195
28,test,153,0.2144656479358673,0.5522122979164124,0.23332209885120392
29,test,269,0.3599214255809784,0.5764068365097046,0.06367181241512299
30,test,66,0.15906991064548492,0.638618528842926,0.20231159031391144
31,test,160,0.14608368277549744,0.6930632591247559,0.16085302829742432
32,test,95,0.13000912964344025,0.700889527797699,0.16910135746002197
