window_index,t_window,split,n_samples,score_-1,score_0,score_1
0,1453766400.0,val,144,0.06,0.19,0.75
1,1453852800.0,val,144,0.23,0.36,0.41
2,1453939200.0,val,144,0.39,0.4,0.21
3,1454025600.0,val,144,0.64,0.09,0.27
4,1454112000.0,val,144,0.6,0.3,0.1
5,1454198400.0,val,144,0.66,0.27,0.07
6,1454284800.0,val,144,0.26,0.4,0.34
7,1454371200.0,val,144,0.21,0.47,0.32
8,1454457600.0,val,144,0.23,0.51,0.26
9,1454544000.0,val,144,0.25,0.41,0.34
10,1454630400.0,val,144,0.26,0.4,0.34
11,1454716800.0,val,144,0.33,0.43,0.24
12,1454803200.0,val,144,0.34,0.49,0.17
13,1454889600.0,val,144,0.19,0.4,0.41
14,1454976000.0,val,144,0.25,0.45,0.3
15,1455062400.0,test,144,0.23,0.42,0.35
16,1455148800.0,test,144,0.16,0.42,0.42
17,1455235200.0,test,144,0.38,0.43,0.19
18,1455321600.0,test,144,0.2,0.45,0.35
19,1455408000.0,test,144,0.23,0.32,0.45
20,1455494400.0,test,144,0.36,0.24,0.4
21,1455580800.0,test,144,0.13,0.27,0.6
22,1455667200.0,test,144,0.3,0.39,0.31
23,1455753600.0,test,144,0.32,0.39,0.29
24,1455840000.0,test,144,0.41,0.33,0.26
25,1455926400.0,test,144,0.39,0.42,0.19
26,1456012800.0,test,144,0.33,0.45,0.22
27,1456099200.0,test,144,0.18,0.42,0.4
28,1456185600.0,test,144,0.16,0.57,0.27
29,1456272000.0,test,144,0.24,0.31,0.45
30,1456358400.0,test,144,0.21,0.38,0.41
31,1456444800.0,test,144,0.2,0.41,0.39
32,1456531200.0,test,144,0.24,0.35,0.41
33,1456617600.0,test,144,0.24,0.52,0.24
34,1456704000.0,test,144,0.37,0.4,0.23
35,1456790400.0,test,144,0.13,0.44,0.43
36,1456876800.0,test,144,0.3,0.35,0.35
37,1456963200.0,test,144,0.14,0.56,0.3
38,1457049600.0,test,144,0.18,0.41,0.41
39,1457136000.0,test,144,0.29,0.37,0.34
40,1457222400.0,test,144,0.26,0.34,0.4
41,1457308800.0,test,144,0.2,0.35,0.45
42,1457395200.0,test,144,0.16,0.39,0.45
43,1457481600.0,test,144,0.42,0.3,0.28
44,1457568000.0,test,144,0.27,0.36,0.37
45,1457654400.0,test,144,0.22,0.41,0.37
46,1457740800.0,test,144,0.34,0.38,0.28
47,1457827200.0,test,144,0.34,0.38,0.28
48,1457913600.0,test,144,0.32,0.44,0.24
49,1458000000.0,test,144,0.04,0.58,0.38
50,1458086400.0,test,144,0.12,0.3,0.58
51,1458172800.0,test,144,0.16,0.5,0.34
52,1458259200.0,test,144,0.23,0.51,0.26
53,1458345600.0,test,144,0.2,0.55,0.25
54,1458432000.0,test,144,0.21,0.59,0.2
55,1458518400.0,test,144,0.21,0.41,0.38
56,1458604800.0,test,144,0.17,0.46,0.37
57,1458691200.0,test,144,0.16,0.42,0.42
58,1458777600.0,test,144,0.16,0.44,0.4
59,1458864000.0,test,144,0.23,0.41,0.36
60,1458950400.0,test,144,0.22,0.42,0.36
61,1459036800.0,test,144,0.18,0.45,0.37
62,1459123200.0,test,144,0.12,0.49,0.39
63,1459209600.0,test,144,0.17,0.44,0.39
64,1459296000.0,test,144,0.17,0.41,0.42
65,1459382400.0,test,144,0.2,0.39,0.41
66,1459468800.0,test,144,0.15,0.48,0.37
67,1459555200.0,test,144,0.16,0.45,0.39
68,1459641600.0,test,144,0.22,0.47,0.31
69,1459728000.0,test,144,0.22,0.56,0.22
70,1459814400.0,test,144,0.21,0.53,0.26
71,1459900800.0,test,144,0.22,0.43,0.35
72,1459987200.0,test,144,0.15,0.43,0.42
73,1460073600.0,test,144,0.12,0.44,0.44
74,1460160000.0,test,144,0.13,0.46,0.41
75,1460246400.0,test,144,0.15,0.48,0.37
76,1460332800.0,test,144,0.1,0.51,0.39
77,1460419200.0,test,144,0.15,0.53,0.32
78,1460505600.0,test,144,0.14,0.41,0.45
79,1460592000.0,test,144,0.13,0.51,0.36
80,1460678400.0,test,144,0.19,0.47,0.34
81,1460764800.0,test,144,0.2,0.46,0.34
82,1460851200.0,test,144,0.14,0.48,0.38
83,1460937600.0,test,144,0.09,0.44,0.47
84,1461024000.0,test,144,0.17,0.48,0.35
85,1461110400.0,test,144,0.15,0.36,0.49
86,1461196800.0,test,144,0.11,0.66,0.23
87,1461283200.0,test,144,0.08,0.49,0.43
88,1461369600.0,test,144,0.11,0.55,0.34
89,1461456000.0,test,144,0.13,0.56,0.31
90,1461542400.0,test,144,0.14,0.66,0.2
91,1461628800.0,test,144,0.18,0.49,0.33
92,1461715200.0,test,144,0.17,0.52,0.31
93,1461801600.0,test,144,0.18,0.53,0.29
94,1461888000.0,test,144,0.22,0.5,0.28
95,1461974400.0,test,144,0.19,0.48,0.33
96,1462060800.0,test,144,0.22,0.38,0.4
97,1462147200.0,test,144,0.2,0.52,0.28
98,1462233600.0,test,144,0.17,0.41,0.42
99,1462320000.0,test,144,0.07,0.56,0.37
100,1462406400.0,test,144,0.07,0.66,0.27
101,1462492800.0,test,144,0.09,0.59,0.32
102,1462579200.0,test,144,0.11,0.38,0.51
103,1462665600.0,test,144,0.08,0.42,0.5
104,1462752000.0,test,144,0.07,0.52,0.41
105,1462838400.0,test,144,0.18,0.55,0.27
106,1462924800.0,test,144,0.18,0.55,0.27
107,1463011200.0,test,144,0.19,0.5,0.31
108,1463097600.0,test,144,0.19,0.52,0.29
109,1463184000.0,test,144,0.16,0.49,0.35
110,1463270400.0,test,144,0.11,0.62,0.27
111,1463356800.0,test,144,0.19,0.45,0.36
112,1463443200.0,test,144,0.1,0.53,0.37
113,1463529600.0,test,144,0.12,0.47,0.41
114,1463616000.0,test,144,0.19,0.48,0.33
115,1463702400.0,test,144,0.12,0.54,0.34
116,1463788800.0,test,144,0.23,0.56,0.21
117,1463875200.0,test,144,0.18,0.53,0.29
118,1463961600.0,test,144,0.19,0.49,0.32
119,1464048000.0,test,144,0.21,0.51,0.28
120,1464134400.0,test,144,0.15,0.44,0.41
121,1464220800.0,test,144,0.09,0.41,0.5
122,1464307200.0,test,109,0.2,0.43,0.37
