window_index,split,n_samples,score_-1,score_0,score_1
0,val,4,0.1737985610961914,0.7627557516098022,0.06344562023878098
1,val,4,0.2820175886154175,0.6990969181060791,0.018885541707277298
2,val,8,0.2868359386920929,0.5209139585494995,0.1922500729560852
3,val,6,0.24385301768779755,0.6642128825187683,0.09193414449691772
4,val,2,0.057386644184589386,0.6192278861999512,0.32338544726371765
5,val,7,0.38954490423202515,0.4958157539367676,0.11463941633701324
6,val,9,0.5513723492622375,0.4143487811088562,0.03427878022193909
7,val,16,0.362750768661499,0.5479540824890137,0.0892951712012291
8,val,54,0.3474506437778473,0.534372866153717,0.1181764230132103
9,val,165,0.3649924397468567,0.5232013463973999,0.11180618405342102
10,val,685,0.3918713629245758,0.4801260232925415,0.12800265848636627
11,val,1233,0.3689459264278412,0.48922356963157654,0.14183054864406586
12,val,614,0.367739200592041,0.5121842622756958,0.12007658183574677
13,val,519,0.35402414202690125,0.5013344883918762,0.1446414291858673
14,val,1128,0.3396642208099365,0.5148112177848816,0.14552459120750427
15,test,1977,0.342876672744751,0.5104838013648987,0.14663954079151154
16,test,2742,0.3576245605945587,0.4916648864746094,0.1507105678319931
17,test,3214,0.3517053425312042,0.49500203132629395,0.15329262614250183
18,test,3448,0.3855992257595062,0.4679059088230133,0.14649485051631927
19,test,2653,0.34503641724586487,0.4829542338848114,0.17200933396816254
20,test,2114,0.3377093970775604,0.5081562995910645,0.15413431823253632
21,test,2062,0.3169070780277252,0.5285833477973938,0.15450957417488098
22,test,1480,0.31000909209251404,0.5343955159187317,0.1555953323841095
23,test,2979,0.3087643086910248,0.5311461687088013,0.16008953750133514
24,test,1277,0.33833926916122437,0.5125410556793213,0.14911971986293793
25,test,345,0.4142419695854187,0.4571938216686249,0.12856422364711761
26,test,23,0.1406765580177307,0.5255041122436523,0.33381935954093933
27,test,125,0.30675002932548523,0.5178267359733582,0.17542321979999542
28,test,87,0.3581473231315613,0.47018811106681824,0.17166462540626526
29,test,316,0.3202306032180786,0.5245267748832703,0.15524257719516754
30,test,630,0.3404697775840759,0.5346109867095947,0.12491922825574875
31,test,954,0.3337724208831787,0.5074722766876221,0.1587553322315216
32,test,810,0.3357645273208618,0.5101763606071472,0.15405912697315216
33,test,767,0.3504124581813812,0.4801463782787323,0.1694411188364029
34,test,1131,0.32583126425743103,0.5110559463500977,0.1631127893924713
35,test,1742,0.33425143361091614,0.5201687216758728,0.14557985961437225
36,test,1843,0.3186246454715729,0.5274590253829956,0.1539163589477539
37,test,1881,0.3007164001464844,0.5193265676498413,0.1799570769071579
38,test,1471,0.27002543210983276,0.540401816368103,0.1895727515220642
39,test,1005,0.2631405293941498,0.5583198666572571,0.17853964865207672
40,test,909,0.2953863739967346,0.5418479442596436,0.1627657115459442
41,test,803,0.3126753270626068,0.5205747485160828,0.16674992442131042
42,test,1428,0.3060064911842346,0.5238503217697144,0.17014317214488983
43,test,284,0.3256370723247528,0.5277177095413208,0.14664527773857117
