chunk_idx,timestamp,true_-1_pred_-1,true_-1_pred_0,true_-1_pred_1,true_0_pred_-1,true_0_pred_0,true_0_pred_1,true_1_pred_-1,true_1_pred_0,true_1_pred_1,accuracy,f1_macro
0,0,5,25,8,8,8,1,0,0,5,0.3,0.3474647402820777
1,1,2,35,5,26,17,4,0,6,6,0.24752475247524752,0.2751322751322751
2,2,1,30,2,14,7,1,0,1,1,0.15789473684210525,0.2027777777777778
3,3,12,104,6,28,22,1,0,6,10,0.2328042328042328,0.3315486375595665
4,4,5,77,7,22,17,5,0,5,16,0.24675324675324675,0.32567678626791924
5,5,2,22,5,25,19,3,0,0,6,0.32926829268292684,0.36774891774891777
6,6,2,26,6,15,16,0,0,2,3,0.3,0.3112231559290383
7,7,7,101,8,24,23,0,1,10,12,0.22580645161290322,0.3022925919623851
8,8,7,67,10,24,17,3,0,10,9,0.22448979591836735,0.269046777424296
9,9,2,25,1,23,17,4,1,2,1,0.2631578947368421,0.2201459034792368
10,10,3,23,1,5,11,1,2,0,7,0.39622641509433965,0.45710416298651596
11,11,6,85,11,16,23,5,2,10,18,0.26704545454545453,0.31389623750734863
12,12,5,250,9,20,67,3,3,13,19,0.23393316195372751,0.3096839233825535
13,13,6,63,1,20,16,0,0,2,6,0.24561403508771928,0.39950142450142456
14,14,2,36,1,9,15,1,1,3,5,0.3013698630136986,0.3610594026640192
15,15,8,97,12,20,15,1,1,5,17,0.22727272727272727,0.3157256354769012
16,16,2,62,13,34,21,4,0,2,12,0.23333333333333334,0.2950681438796277
17,17,2,29,7,19,15,1,0,1,4,0.2692307692307692,0.30446161515453635
18,18,0,20,1,11,9,5,0,5,4,0.23636363636363636,0.24204579244721977
19,19,3,28,2,19,11,2,0,3,4,0.25,0.3132405132405132
20,20,2,22,4,19,15,2,1,4,3,0.2777777777777778,0.27418385536032597
21,21,1,17,2,16,10,2,0,0,8,0.3392857142857143,0.40589680589680593
22,22,1,16,1,4,4,1,0,1,1,0.20689655172413793,0.25120772946859904
23,23,4,22,1,16,11,2,0,4,4,0.296875,0.3456264775413711
24,24,3,28,2,15,9,2,0,2,7,0.27941176470588236,0.3648567119155355
25,25,1,31,2,18,17,3,0,2,5,0.2911392405063291,0.3374449265126291
26,26,3,19,7,15,7,1,0,5,5,0.24193548387096775,0.2739004808076655
27,27,12,81,10,18,23,6,2,8,13,0.2774566473988439,0.3223619846261356
28,28,2,62,15,30,15,7,0,6,16,0.21568627450980393,0.2638638638638639
29,29,17,164,7,36,23,1,0,16,5,0.16728624535315986,0.20336714273295894
30,30,1,34,4,7,7,1,1,6,5,0.19696969696969696,0.24067285760834145
31,31,4,90,13,13,18,1,1,14,6,0.175,0.19681638686516734
32,32,1,48,5,10,17,4,0,6,4,0.23157894736842105,0.23730955035302861
