chunk_idx,timestamp,true_0_pred_0,true_0_pred_1,true_1_pred_0,true_1_pred_1,accuracy,f1_macro
0,,18,2,7,20,0.8085106382978723,0.8081632653061225
1,,25,4,9,9,0.723404255319149,0.6871479774705581
2,,26,0,6,15,0.8723404255319149,0.8649425287356323
3,,28,2,9,9,0.7708333333333334,0.728255275347401
4,,24,4,12,7,0.6595744680851063,0.6083333333333334
5,,28,1,4,14,0.8936170212765957,0.8832588176850472
6,,37,2,3,6,0.8958333333333334,0.8212956068503351
7,,28,2,8,10,0.7916666666666666,0.7575757575757576
8,,23,1,9,15,0.7916666666666666,0.7857142857142857
9,,28,1,7,12,0.8333333333333334,0.8125
10,,30,0,8,10,0.8333333333333334,0.7983193277310925
11,,24,4,14,6,0.625,0.5636363636363637
12,,24,2,8,13,0.7872340425531915,0.774904214559387
13,,24,1,9,14,0.7916666666666666,0.7822141560798548
14,,31,2,11,4,0.7291666666666666,0.6038095238095238
15,,20,1,13,14,0.7083333333333334,0.7037037037037037
16,,18,0,8,22,0.8333333333333334,0.8321678321678322
17,,28,0,10,10,0.7916666666666666,0.7575757575757576
18,,19,3,13,13,0.6666666666666666,0.6613756613756614
19,,16,0,8,24,0.8333333333333334,0.8285714285714285
20,,18,0,6,24,0.875,0.873015873015873
21,,14,1,14,19,0.6875,0.6840719613865731
22,,15,1,17,15,0.625,0.625
23,,21,0,10,17,0.7916666666666666,0.7902097902097902
24,,14,0,14,20,0.7083333333333334,0.7037037037037037
25,,17,1,12,18,0.7291666666666666,0.7290490664350847
26,,15,0,12,21,0.75,0.746031746031746
27,,14,0,11,23,0.7708333333333334,0.7624831309041835
28,,18,1,19,10,0.5833333333333334,0.5714285714285714
29,,16,1,13,18,0.7083333333333334,0.7078260869565217
30,,18,1,13,16,0.7083333333333334,0.7078260869565217
31,,14,0,15,19,0.6875,0.6840719613865731
32,,14,3,13,18,0.6666666666666666,0.6643356643356644
33,,15,0,11,22,0.7708333333333334,0.7658536585365854
34,,15,0,7,26,0.8541666666666666,0.8460833715071003
35,,14,1,10,23,0.7708333333333334,0.7624831309041835
36,,16,2,13,17,0.6875,0.6873643074250977
37,,14,0,7,27,0.8541666666666666,0.8426229508196721
38,,12,0,9,27,0.8125,0.7922077922077921
39,,14,3,13,18,0.6666666666666666,0.6643356643356644
40,,15,0,7,26,0.8541666666666666,0.8460833715071003
41,,13,2,7,26,0.8125,0.7976580796252928
42,,12,1,10,25,0.7708333333333334,0.7526932084309134
43,,13,2,11,22,0.7291666666666666,0.7192982456140351
44,,12,0,10,26,0.7916666666666666,0.7722960151802657
45,,14,0,10,24,0.7916666666666666,0.7822141560798548
46,,14,3,11,20,0.7083333333333334,0.7037037037037037
47,,18,0,8,22,0.8333333333333334,0.8321678321678322
48,,13,0,9,26,0.8125,0.7976580796252928
49,,13,1,8,26,0.8125,0.7976580796252928
50,,15,1,9,23,0.7916666666666666,0.7857142857142857
51,,13,0,7,28,0.8541666666666666,0.8383838383838383
52,,12,0,8,28,0.8333333333333334,0.8125
53,,12,3,10,23,0.7291666666666666,0.7141548327989007
54,,14,1,13,20,0.7083333333333334,0.7037037037037037
55,,14,0,7,27,0.8541666666666666,0.8426229508196721
56,,12,1,11,24,0.75,0.7333333333333334
57,,14,2,7,25,0.8125,0.8021071919377004
58,,14,0,9,25,0.8125,0.8021071919377004
59,,12,0,9,27,0.8125,0.7922077922077921
60,,12,2,10,24,0.75,0.7333333333333334
61,,14,0,7,27,0.8541666666666666,0.8426229508196721
62,,13,1,7,27,0.8333333333333334,0.8178368121442126
