chunk_idx,timestamp,true_0_pred_0,true_0_pred_1,true_1_pred_0,true_1_pred_1,accuracy,f1_macro
0,,9,11,2,25,0.723404255319149,0.6871479774705581
1,,27,2,4,14,0.8723404255319149,0.861764705882353
2,,26,0,6,15,0.8723404255319149,0.8649425287356323
3,,29,1,7,11,0.8333333333333334,0.806060606060606
4,,28,0,10,9,0.7872340425531915,0.7456709956709957
5,,29,0,6,12,0.8723404255319149,0.853125
6,,37,2,3,6,0.8958333333333334,0.8212956068503351
7,,29,1,6,12,0.8541666666666666,0.8332506203473946
8,,24,0,7,17,0.8541666666666666,0.8509977827050997
9,,28,1,4,15,0.8958333333333334,0.8875878220140515
10,,30,0,6,12,0.875,0.8545454545454545
11,,28,0,16,4,0.6666666666666666,0.5555555555555556
12,,25,1,15,6,0.6595744680851063,0.5930735930735931
13,,23,2,6,17,0.8333333333333334,0.8306878306878307
14,,32,1,5,10,0.875,0.8417582417582418
15,,19,2,9,18,0.7708333333333334,0.7707338254450716
16,,17,1,11,19,0.75,0.7495652173913043
17,,24,4,8,12,0.75,0.7333333333333334
18,,22,0,16,10,0.6666666666666666,0.6444444444444444
19,,16,0,15,17,0.6875,0.6873643074250977
20,,18,0,16,14,0.6666666666666666,0.6643356643356644
21,,8,7,7,26,0.7083333333333334,0.6606060606060606
22,,16,0,23,9,0.5208333333333334,0.5104212860310421
23,,20,1,12,15,0.7291666666666666,0.7261956998683634
24,,14,0,10,24,0.7916666666666666,0.7822141560798548
25,,16,2,3,27,0.8958333333333334,0.8900595510765003
26,,15,0,9,24,0.8125,0.8056680161943319
27,,13,1,12,22,0.7291666666666666,0.7192982456140351
28,,19,0,19,10,0.6041666666666666,0.5897435897435896
29,,17,0,22,9,0.5416666666666666,0.5285714285714286
30,,19,0,20,9,0.5833333333333334,0.5644283121597096
31,,14,0,17,17,0.6458333333333334,0.6444444444444444
32,,16,1,11,20,0.75,0.7482517482517483
33,,15,0,22,11,0.5416666666666666,0.5384615384615384
34,,15,0,10,23,0.7916666666666666,0.7857142857142857
35,,13,2,14,19,0.6666666666666666,0.6613756613756614
36,,18,0,20,10,0.5833333333333334,0.5714285714285714
37,,13,1,11,23,0.75,0.7386569872958257
38,,0,12,2,34,0.7083333333333334,0.4146341463414634
39,,12,5,7,24,0.75,0.7333333333333334
40,,15,0,11,22,0.7708333333333334,0.7658536585365854
41,,14,1,10,23,0.7708333333333334,0.7624831309041835
42,,11,2,10,25,0.75,0.7267552182163188
43,,14,1,12,21,0.7291666666666666,0.7232815964523283
44,,7,5,3,33,0.8333333333333334,0.7641277641277642
45,,13,1,15,19,0.6666666666666666,0.6613756613756614
46,,16,1,11,20,0.75,0.7482517482517483
