chunk_idx,timestamp,true_-1_pred_-1,true_-1_pred_0,true_-1_pred_1,true_0_pred_-1,true_0_pred_0,true_0_pred_1,true_1_pred_-1,true_1_pred_0,true_1_pred_1,accuracy,f1_macro
0,,104,11,3,7,2,5,0,1,11,0.8125,0.5869438351478076
1,,125,4,2,8,1,0,4,0,0,0.875,0.35856432125088844
2,,144,0,0,0,0,0,0,0,0,1.0,1.0
3,,104,0,1,30,1,6,0,1,1,0.7361111111111112,0.3738583127704467
4,,73,0,0,23,1,6,21,3,17,0.6319444444444444,0.4528315273477812
5,,46,7,0,5,19,6,1,22,38,0.7152777777777778,0.6957264957264958
6,,0,49,7,0,16,15,0,46,11,0.1875,0.15659885237350027
7,,34,15,8,8,10,52,3,1,13,0.3958333333333333,0.3879629629629629
8,,11,0,2,44,21,6,13,13,34,0.4583333333333333,0.4460905349794239
9,,42,4,10,3,19,34,2,13,17,0.5416666666666666,0.5313896188976187
10,,50,36,3,5,33,8,0,6,3,0.5972222222222222,0.5002561850387938
11,,60,6,1,6,52,3,2,14,0,0.7777777777777778,0.556947925368978
12,,70,9,1,12,13,20,1,12,6,0.6180555555555556,0.48295973159649885
13,,19,26,2,4,16,29,0,19,29,0.4444444444444444,0.4569344236010903
14,,29,20,1,6,13,1,21,33,20,0.4305555555555556,0.4220540197942568
15,,2,1,0,47,42,14,0,14,24,0.4722222222222222,0.4111673414304993
16,,35,8,1,18,22,8,2,26,24,0.5625,0.5649511708335238
17,,31,3,4,29,24,12,2,35,4,0.4097222222222222,0.3763667656297061
18,,41,5,3,14,50,9,4,14,4,0.6597222222222222,0.5580036423871363
19,,24,1,7,22,14,28,1,11,36,0.5138888888888888,0.5079160215422315
20,,14,24,12,10,14,32,0,16,22,0.3472222222222222,0.35200025200025203
21,,23,34,6,5,33,13,8,13,9,0.4513888888888889,0.4262693620419338
22,,17,21,3,33,65,2,0,3,0,0.5694444444444444,0.3538190204856872
23,,30,23,5,16,35,17,2,4,12,0.5347222222222222,0.5220125786163522
24,,39,44,3,3,9,5,4,34,3,0.3541666666666667,0.2931235431235431
25,,0,57,7,0,38,12,0,28,2,0.2777777777777778,0.1725792436435075
26,,12,40,4,2,8,49,0,3,26,0.3194444444444444,0.3232643899310566
27,,25,30,2,11,25,14,2,16,19,0.4791666666666667,0.48910556924911
28,,27,9,15,27,18,22,4,13,9,0.375,0.3606204807225128
29,,48,11,2,13,32,14,0,14,10,0.625,0.579536461277558
30,,37,2,1,6,30,26,3,4,35,0.7083333333333334,0.7152623124383922
31,,23,48,2,7,35,4,1,23,1,0.4097222222222222,0.3217780026990553
32,,42,11,1,11,54,3,7,15,0,0.6666666666666666,0.48885727833096254
33,,48,46,0,18,27,0,1,3,1,0.5277777777777778,0.45862920566477877
34,,31,14,1,13,18,9,5,43,10,0.4097222222222222,0.4073617712061648
35,,31,40,4,2,38,14,0,8,7,0.5277777777777778,0.4889770723104056
36,,17,33,2,5,41,10,0,20,16,0.5138888888888888,0.5020420420420421
37,,26,32,4,1,36,24,0,13,8,0.4861111111111111,0.45733789027614663
38,,0,77,1,0,29,4,0,26,7,0.25,0.2208754208754209
39,,45,16,1,6,34,23,0,18,1,0.5555555555555556,0.45366623063711486
40,,45,20,3,10,21,25,1,7,12,0.5416666666666666,0.5098842018196857
41,,37,6,7,9,13,19,4,38,11,0.4236111111111111,0.41658352229780804
42,,33,43,6,7,21,16,0,7,11,0.4513888888888889,0.4458578489604443
43,,47,10,5,13,21,9,5,26,8,0.5277777777777778,0.47415085409405794
44,,41,19,2,5,39,7,0,26,5,0.5902777777777778,0.5197530864197532
45,,36,54,1,8,31,0,5,9,0,0.4652777777777778,0.3268170426065163
46,,39,14,1,8,44,0,0,38,0,0.5763888888888888,0.4556239407724556
47,,26,27,0,19,50,4,0,17,1,0.5347222222222222,0.40545705394889014
48,,24,22,0,4,23,9,1,53,8,0.3819444444444444,0.39527174255305747
49,,30,28,2,8,28,13,4,21,10,0.4722222222222222,0.45533769063180823
50,,21,17,4,9,22,13,5,38,15,0.4027777777777778,0.41414141414141414
51,,20,29,1,5,47,15,0,22,5,0.5,0.4371212121212121
52,,0,67,13,0,46,4,0,14,0,0.3194444444444444,0.17325800376647835
53,,0,45,0,0,54,1,0,43,1,0.3819444444444444,0.19723387037445742
54,,0,30,0,0,61,0,0,53,0,0.4236111111111111,0.1983739837398374
55,,0,57,1,0,62,3,0,16,5,0.4652777777777778,0.31777777777777777
56,,11,70,0,5,37,0,0,13,8,0.3888888888888889,0.411772795033055
57,,0,41,1,0,66,7,0,29,0,0.4583333333333333,0.21052631578947367
58,,0,73,0,0,45,13,0,13,0,0.3125,0.15873015873015872
59,,0,42,0,0,33,0,0,68,1,0.2361111111111111,0.13452380952380952
60,,30,10,0,16,40,1,0,39,8,0.5416666666666666,0.5104446365994629
61,,0,20,0,0,112,0,0,12,0,0.7777777777777778,0.2916666666666667
62,,0,22,0,0,74,2,0,44,2,0.5277777777777778,0.25506172839506175
63,,0,24,0,0,79,2,0,37,2,0.5625,0.26931846083692873
64,,0,22,1,0,97,1,0,23,0,0.6736111111111112,0.26944444444444443
65,,0,49,1,0,66,5,0,23,0,0.4583333333333333,0.21052631578947367
66,,10,81,0,12,34,0,1,6,0,0.3055555555555556,0.19420807507791435
67,,0,95,0,0,49,0,0,0,0,0.3402777777777778,0.2538860103626943
68,,0,34,0,0,94,0,0,16,0,0.6527777777777778,0.26330532212885155
69,,0,19,0,0,60,0,0,62,3,0.4375,0.22841673983026045
70,,0,20,0,0,68,1,0,55,0,0.4722222222222222,0.21383647798742136
71,,0,39,0,0,65,6,0,19,15,0.5555555555555556,0.40518587941268347
72,,5,79,0,7,33,1,1,17,1,0.2708333333333333,0.19552205762029898
73,,0,45,0,0,41,0,0,54,4,0.3125,0.19402364403255512
74,,29,17,0,11,48,0,1,38,0,0.5347222222222222,0.419753086419753
75,,15,37,0,9,62,0,0,20,1,0.5416666666666666,0.3794258373205741
76,,0,41,1,0,84,1,0,15,2,0.5972222222222222,0.31238095238095237
77,,0,40,0,0,72,6,0,26,0,0.5,0.2222222222222222
78,,4,44,0,0,68,1,0,27,0,0.5,0.2692307692307692
79,,21,20,0,18,56,13,0,16,0,0.5347222222222222,0.38356610800744884
80,,0,29,0,0,73,0,0,39,3,0.5277777777777778,0.27185877466251296
81,,0,41,0,0,48,0,0,55,0,0.3333333333333333,0.16666666666666666
82,,30,10,1,17,46,4,0,30,6,0.5694444444444444,0.5128148400989452
83,,11,53,5,7,40,7,0,18,3,0.375,0.3014629049111808
84,,0,79,0,0,45,1,0,17,2,0.3263888888888889,0.22103386809269163
85,,11,46,0,8,56,0,0,23,0,0.4652777777777778,0.2940220922677063
86,,0,54,0,0,67,0,0,23,0,0.4652777777777778,0.21169036334913113
87,,0,16,0,0,65,0,0,63,0,0.4513888888888889,0.20733652312599682
88,,0,33,0,0,65,0,0,46,0,0.4513888888888889,0.20733652312599682
89,,0,24,0,0,97,0,0,22,1,0.6805555555555556,0.2972222222222222
90,,0,15,1,0,89,23,0,9,7,0.6666666666666666,0.36299448384554767
91,,5,68,1,7,48,1,2,12,0,0.3680555555555556,0.21179183135704874
92,,0,32,3,0,75,19,0,14,1,0.5277777777777778,0.25010199918400655
93,,2,53,0,7,53,1,1,27,0,0.3819444444444444,0.20264340470526035
94,,0,51,0,0,55,0,0,38,0,0.3819444444444444,0.1842546063651591
95,,0,41,0,0,63,0,0,40,0,0.4375,0.2028985507246377
96,,19,22,0,7,61,0,0,35,0,0.5555555555555556,0.4076927191997004
97,,1,51,0,4,63,0,2,23,0,0.4444444444444444,0.21718178796942508
98,,0,70,0,0,52,0,0,22,0,0.3611111111111111,0.17687074829931973
99,,0,33,0,0,89,0,0,22,0,0.6180555555555556,0.25464949928469244
100,,0,48,0,0,76,0,0,20,0,0.5277777777777778,0.23030303030303031
101,,0,31,0,0,78,0,0,35,0,0.5416666666666666,0.23423423423423426
102,,0,31,0,0,84,0,0,29,0,0.5833333333333334,0.24561403508771928
103,,0,59,0,0,78,0,0,7,0,0.5416666666666666,0.23423423423423426
104,,0,30,0,0,91,0,0,23,0,0.6319444444444444,0.2581560283687943
105,,0,52,0,0,87,0,0,5,0,0.6041666666666666,0.2510822510822511
106,,0,35,0,0,102,0,0,7,0,0.7083333333333334,0.2764227642276423
