chunk_idx,timestamp,true_-1_pred_-1,true_-1_pred_0,true_-1_pred_1,true_0_pred_-1,true_0_pred_0,true_0_pred_1,true_1_pred_-1,true_1_pred_0,true_1_pred_1,accuracy,f1_macro
0,,73,44,1,3,6,5,0,4,8,0.6041666666666666,0.5148108410691795
1,,69,61,1,1,8,0,0,4,0,0.5347222222222222,0.29389637179953887
2,,136,8,0,0,0,0,0,0,0,0.9444444444444444,0.4857142857142857
3,,103,1,1,30,2,5,0,1,1,0.7361111111111112,0.3951098054397911
4,,70,1,2,7,12,11,8,20,13,0.6597222222222222,0.5516960106040022
5,,45,7,1,5,22,3,0,40,21,0.6111111111111112,0.6022009817448968
6,,0,51,5,0,25,6,0,46,11,0.25,0.20175946609304762
7,,0,57,0,0,70,0,0,17,0,0.4861111111111111,0.21806853582554517
8,,3,10,0,10,58,3,0,54,6,0.4652777777777778,0.3352395145591811
9,,0,52,4,1,53,2,0,31,1,0.375,0.2011217948717949
10,,0,89,0,0,46,0,0,9,0,0.3194444444444444,0.16140350877192983
11,,9,57,1,0,54,7,0,15,1,0.4444444444444444,0.2981274040716765
12,,0,80,0,0,28,17,0,12,7,0.24305555555555555,0.2216584449142589
13,,2,44,1,1,30,18,0,37,11,0.2986111111111111,0.24568376068376066
14,,0,50,0,0,13,7,0,56,18,0.2152777777777778,0.18356224111619798
15,,0,3,0,0,97,6,0,33,5,0.7083333333333334,0.342038510319382
16,,25,17,2,20,23,5,7,23,22,0.4861111111111111,0.49281920809698593
17,,22,10,6,26,22,17,3,21,17,0.4236111111111111,0.42900548827462215
18,,33,10,6,30,20,23,9,0,13,0.4583333333333333,0.44668468667255073
19,,22,2,8,23,9,32,2,2,44,0.5208333333333334,0.48579830858311873
20,,11,12,27,10,9,37,0,11,27,0.3263888888888889,0.3110030868792742
21,,10,24,29,1,36,14,6,14,10,0.3888888888888889,0.35565461847389557
22,,7,28,6,22,66,12,1,1,1,0.5138888888888888,0.3216717554745724
23,,42,10,6,30,13,25,2,7,9,0.4444444444444444,0.4040048621329409
24,,48,29,9,4,6,7,13,25,3,0.3958333333333333,0.29720191508270977
25,,33,22,9,20,20,10,13,16,1,0.375,0.30602089268755933
26,,8,47,1,2,55,2,0,29,0,0.4375,0.2737905369484317
