chunk_idx,timestamp,true_-1_pred_-1,true_-1_pred_0,true_-1_pred_1,true_0_pred_-1,true_0_pred_0,true_0_pred_1,true_1_pred_-1,true_1_pred_0,true_1_pred_1,accuracy,f1_macro
0,03-02,0,2,0,0,0,0,0,2,0,0.0,0.0
1,03-03,0,0,0,1,2,0,0,1,0,0.5,0.2222222222222222
2,03-04,2,2,0,0,0,0,0,2,2,0.5,0.4444444444444444
3,03-05,1,0,0,0,1,0,0,4,0,0.3333333333333333,0.4444444444444444
4,03-06,0,0,0,0,0,0,0,1,1,0.5,0.3333333333333333
5,03-07,3,2,0,0,0,0,0,1,1,0.5714285714285714,0.47222222222222215
6,03-08,4,1,0,1,1,0,1,1,0,0.5555555555555556,0.3757575757575758
7,03-09,4,4,0,1,1,0,0,5,1,0.375,0.35592185592185593
8,03-10,13,10,2,2,5,0,3,17,2,0.37037037037037035,0.338302524349036
9,03-11,33,24,1,5,26,1,19,43,13,0.43636363636363634,0.42626731078904995
10,03-12,198,116,4,21,77,2,50,147,70,0.5036496350364964,0.47759332012191585
11,03-13,319,206,8,28,176,1,107,253,135,0.5109489051094891,0.4959953574877159
12,03-14,157,114,6,18,74,0,40,162,43,0.44625407166123776,0.42185667262527266
13,03-15,128,79,4,18,73,4,34,125,54,0.4913294797687861,0.47997728293578473
14,03-16,257,181,11,37,148,3,71,310,110,0.45656028368794327,0.4490311340519262
15,03-17,487,325,10,60,292,9,113,468,213,0.5017703591299949,0.4920991345974967
16,03-18,676,405,26,94,379,13,191,647,311,0.49817651349380015,0.48804151656204525
17,03-19,760,502,37,124,437,10,229,759,356,0.4831985065339141,0.47430998186625456
18,03-20,969,465,29,113,467,17,252,789,347,0.5171113689095128,0.4951625076771218
19,03-21,628,403,30,72,368,16,172,608,356,0.5096117602713909,0.5045986670540744
20,03-22,474,281,15,70,303,8,150,559,254,0.48770104068117315,0.4849520660789956
21,03-23,420,289,16,60,321,13,166,543,234,0.4728419010669253,0.4719159785045442
22,03-24,325,235,21,36,241,7,87,367,161,0.4912162162162162,0.4866209578296879
23,03-25,573,417,34,87,426,11,215,878,338,0.44880832494125544,0.4518808823519847
24,03-26,279,164,9,51,207,5,99,327,136,0.48707909162098667,0.4820649632451257
25,03-27,98,34,3,23,57,0,28,68,34,0.5478260869565217,0.5247713071705608
26,03-28,2,3,0,0,1,0,1,9,7,0.43478260869565216,0.4087301587301588
27,03-29,19,10,3,4,23,1,14,33,18,0.48,0.4846264810856982
28,03-30,22,16,1,2,7,1,5,22,11,0.45977011494252873,0.4443256090314914
29,03-31,66,59,2,8,34,0,29,83,35,0.4272151898734177,0.42209147719718126
30,04-01,138,106,2,26,99,0,42,169,48,0.4523809523809524,0.43936422261712754
31,04-02,219,134,8,44,150,7,50,232,110,0.5020964360587002,0.49793119626069965
32,04-03,182,122,7,31,118,5,55,195,95,0.4876543209876543,0.4832344067822311
33,04-04,181,89,6,32,96,2,54,204,103,0.4954367666232073,0.49101651372152005
34,04-05,233,135,14,46,186,3,72,310,132,0.48717948717948717,0.48783158865145837
35,04-06,386,232,12,62,284,14,118,456,178,0.48679678530424797,0.481432104499232
36,04-07,385,265,11,68,296,10,116,481,211,0.48399348887683125,0.48328819565901
37,04-08,364,246,13,63,289,13,115,515,263,0.4869750132908028,0.4927939098235241
38,04-09,251,197,20,43,233,9,81,413,224,0.4813052345343304,0.48999762580522543
39,04-10,180,117,15,27,203,9,50,274,130,0.5104477611940299,0.5159051549581075
40,04-11,178,116,7,20,153,9,62,257,107,0.48184818481848185,0.4855280435670413
41,04-12,189,112,7,13,129,4,53,199,97,0.5168119551681195,0.5120612977813567
42,04-13,286,208,14,42,222,7,97,379,173,0.47689075630252103,0.47820870612576855
43,04-14,63,42,1,9,51,0,16,73,29,0.5035211267605634,0.49756795386756153
