chunk_idx,timestamp,true_-1_pred_-1,true_-1_pred_0,true_-1_pred_1,true_0_pred_-1,true_0_pred_0,true_0_pred_1,true_1_pred_-1,true_1_pred_0,true_1_pred_1,accuracy,f1_macro
0,2024-01-01 05:02:42+00:00,0,0,0,0,0,0,0,1,0,0.0,0.0
1,2024-01-02 00:00:00+00:00,0,0,0,0,1,0,0,8,0,0.1111111111111111,0.1
2,2024-01-03 21:19:10+00:00,0,0,0,0,2,0,0,8,0,0.2,0.16666666666666666
3,2024-01-04 17:33:49+00:00,0,0,0,0,1,0,0,6,0,0.14285714285714285,0.125
4,2024-01-05 01:30:19+00:00,0,0,0,0,0,0,0,2,0,0.0,0.0
5,2024-01-06 19:34:14+00:00,0,0,0,0,0,0,0,1,0,0.0,0.0
6,2024-01-07 23:47:56+00:00,0,1,0,0,0,0,0,4,1,0.16666666666666666,0.1111111111111111
7,2024-01-08 15:05:57+00:00,0,0,0,0,0,0,0,3,0,0.0,0.0
8,2024-01-10 00:37:44+00:00,0,1,0,0,0,0,0,4,1,0.16666666666666666,0.1111111111111111
9,2024-01-11 22:54:06+00:00,0,1,0,0,0,0,0,5,0,0.0,0.0
10,2024-01-12 20:22:32+00:00,0,0,0,0,0,0,0,5,0,0.0,0.0
11,2024-01-13 05:55:25+00:00,0,0,0,0,0,0,0,1,0,0.0,0.0
12,2024-01-14 00:00:00+00:00,0,0,0,0,0,0,0,7,0,0.0,0.0
13,2024-01-15 22:55:52+00:00,0,0,0,0,0,0,0,4,1,0.2,0.16666666666666666
14,2024-01-16 00:00:00+00:00,0,0,0,0,0,0,0,3,0,0.0,0.0
15,2024-01-17 17:16:06+00:00,0,0,0,0,0,0,0,1,0,0.0,0.0
16,2024-01-18 14:05:19+00:00,0,0,0,0,0,0,0,2,0,0.0,0.0
17,2024-01-19 10:08:21+00:00,0,0,0,0,0,0,0,3,0,0.0,0.0
18,2024-01-20 00:07:39+00:00,0,0,0,0,0,0,0,4,0,0.0,0.0
19,2024-01-21 00:23:01+00:00,0,0,0,0,0,0,0,2,0,0.0,0.0
20,2024-01-22 22:30:46+00:00,0,0,0,0,0,0,0,5,1,0.16666666666666666,0.14285714285714285
21,2024-01-23 00:00:00+00:00,0,0,0,0,0,0,0,3,1,0.25,0.2
22,2024-01-24 18:18:41+00:00,0,0,0,0,1,1,0,6,0,0.125,0.1111111111111111
23,2024-01-25 00:57:50+00:00,0,0,0,0,0,0,0,3,1,0.25,0.2
24,2024-01-26 02:39:52+00:00,0,0,0,0,0,0,0,1,0,0.0,0.0
25,2024-01-27 20:58:43+00:00,0,0,0,0,1,0,0,1,0,0.5,0.3333333333333333
26,2024-01-28 09:27:30+00:00,0,0,0,0,1,0,0,1,1,0.6666666666666666,0.6666666666666666
27,2024-01-29 11:13:28+00:00,0,0,0,0,0,0,0,2,0,0.0,0.0
28,2024-01-30 22:20:25+00:00,0,0,0,0,1,0,0,4,0,0.2,0.16666666666666666
29,2024-01-31 16:32:34+00:00,0,0,0,0,0,0,0,1,0,0.0,0.0
30,2024-02-02 03:27:31+00:00,0,0,0,0,1,0,1,5,1,0.25,0.17857142857142858
31,2024-02-04 04:09:42+00:00,0,0,0,0,0,0,0,1,0,0.0,0.0
32,2024-02-06 00:16:04+00:00,0,0,0,0,1,0,0,1,0,0.5,0.3333333333333333
33,2024-02-07 00:00:00+00:00,0,0,0,0,1,0,0,0,1,1.0,1.0
34,2024-02-08 19:29:25+00:00,0,0,0,0,0,0,0,0,1,1.0,1.0
35,2024-02-10 01:59:41+00:00,0,0,0,0,0,0,0,0,3,1.0,1.0
36,2024-02-11 00:40:57+00:00,0,0,0,0,0,0,0,1,0,0.0,0.0
37,2024-02-12 12:46:56+00:00,0,0,0,0,0,0,0,1,0,0.0,0.0
38,2024-02-13 00:00:00+00:00,0,0,0,0,1,0,0,2,0,0.3333333333333333,0.25
39,2024-02-14 21:34:07+00:00,0,0,0,0,0,0,0,6,1,0.14285714285714285,0.125
40,2024-02-15 12:28:22+00:00,0,0,0,0,1,0,0,5,0,0.16666666666666666,0.14285714285714285
41,2024-02-16 14:00:34+00:00,0,0,0,0,0,0,0,2,0,0.0,0.0
42,2024-02-17 07:35:29+00:00,0,0,0,0,0,0,0,3,1,0.25,0.2
43,2024-02-18 14:28:05+00:00,0,0,0,0,0,0,0,4,1,0.2,0.16666666666666666
44,2024-02-19 00:00:40+00:00,0,0,0,0,0,0,0,5,1,0.16666666666666666,0.14285714285714285
45,2024-02-20 13:53:37+00:00,0,0,0,0,1,0,0,3,1,0.4,0.4
46,2024-02-21 00:21:48+00:00,0,0,0,0,0,0,0,2,0,0.0,0.0
47,2024-02-22 20:21:15+00:00,0,1,0,0,2,0,0,5,1,0.3333333333333333,0.22857142857142856
48,2024-02-23 11:38:27+00:00,0,0,0,0,1,0,0,1,2,0.75,0.7333333333333334
49,2024-02-24 03:41:02+00:00,0,0,0,0,0,0,0,3,1,0.25,0.2
50,2024-02-25 00:00:00+00:00,0,0,0,0,0,0,0,4,1,0.2,0.16666666666666666
51,2024-02-26 17:24:07+00:00,0,1,0,0,0,1,0,3,1,0.16666666666666666,0.1111111111111111
