chunk_idx,timestamp,true_-1_pred_-1,true_-1_pred_0,true_-1_pred_1,true_0_pred_-1,true_0_pred_0,true_0_pred_1,true_1_pred_-1,true_1_pred_0,true_1_pred_1,accuracy,f1_macro
0,2024-01,0,4,0,0,4,0,0,57,0,0.0615384615384615,0.038647342995169
1,2024-02,0,0,0,0,0,0,0,41,2,0.0465116279069767,0.0444444444444444
2,2024-03,0,0,0,0,2,0,0,26,1,0.1034482758620689,0.1023809523809523
3,2024-04,0,0,0,0,4,0,0,25,2,0.1935483870967742,0.1901776384535005
4,2024-05,0,0,0,0,3,0,0,47,0,0.06,0.0566037735849056
5,2024-06,0,2,0,0,4,0,0,27,0,0.1212121212121212,0.072072072072072
6,2024-07,0,6,0,1,8,0,0,59,3,0.1428571428571428,0.0958098811757348
7,2024-08,0,0,0,0,3,0,0,39,0,0.0714285714285714,0.0666666666666666
8,2024-09,0,3,0,0,2,1,0,32,1,0.0769230769230769,0.0523809523809523
9,2024-10,0,3,0,0,2,0,0,33,1,0.0769230769230769,0.0523809523809523
10,2024-11,0,3,0,0,3,0,1,34,2,0.1162790697674418,0.0806996620950109
11,2024-12,0,0,0,0,2,0,0,42,0,0.0454545454545454,0.0434782608695652
12,2025-01,0,3,0,1,8,0,0,53,4,0.1739130434782608,0.1167752077251291
13,2025-02,0,3,0,0,6,0,0,41,1,0.1372549019607843,0.0869324473975636
14,2025-03,0,0,0,0,6,0,0,36,3,0.2,0.1964285714285714
15,2025-04,0,1,0,0,3,0,0,15,1,0.2,0.1301247771836007
16,2025-05,0,1,0,0,7,0,0,27,3,0.2631578947368421,0.1717171717171717
17,2025-06,0,3,0,0,4,0,0,29,4,0.2,0.1387387387387387
18,2025-07,0,7,0,0,7,0,0,31,2,0.1914893617021276,0.1278388278388278
19,2025-08,0,0,0,0,6,0,0,35,0,0.1463414634146341,0.1276595744680851
20,2025-09,0,3,0,0,5,0,0,44,0,0.0961538461538461,0.0584795321637426
21,2025-10,0,4,0,0,6,0,0,32,1,0.1627906976744186,0.1029411764705882
22,2025-11,0,3,0,0,7,0,0,23,1,0.2352941176470588,0.1433333333333333
23,2025-12,2,1,0,0,6,0,0,32,1,0.2142857142857142,0.3751633986928104
24,2026-01,0,2,0,0,14,1,0,48,1,0.2272727272727272,0.1312153553404484
25,2026-02,1,2,0,1,6,0,0,34,1,0.1777777777777777,0.2334845049130763
26,2026-03,1,1,0,0,3,0,0,23,0,0.1428571428571428,0.2888888888888889
