chunk_idx,timestamp,true_-1_pred_-1,true_-1_pred_0,true_-1_pred_1,true_0_pred_-1,true_0_pred_0,true_0_pred_1,true_1_pred_-1,true_1_pred_0,true_1_pred_1,accuracy,f1_macro
0,2020-02-11,0,0,0,0,3,0,0,0,0,1.0,1.0
1,2020-02-12,0,3,0,1,27,0,2,1,0,0.7941176470588235,0.3050847457627119
2,2020-02-13,8,0,0,0,2,0,1,2,2,0.8,0.7264239028944912
3,2020-02-14,13,0,0,0,1,0,0,4,1,0.7894736842105263,0.5555555555555555
4,2020-02-15,2,0,0,0,1,1,0,5,1,0.4,0.5
5,2020-02-16,5,1,1,0,0,0,2,4,0,0.38461538461538464,0.2380952380952381
6,2020-02-17,7,1,0,0,0,0,2,0,0,0.7,0.2745098039215686
7,2020-02-18,8,1,0,0,0,0,0,5,0,0.5714285714285714,0.3137254901960784
8,2020-02-19,9,2,0,0,0,0,10,7,1,0.3448275862068966,0.2350877192982456
9,2020-02-20,9,2,0,0,0,0,0,1,0,0.75,0.3
10,2020-02-21,2,4,0,0,0,0,2,1,0,0.2222222222222222,0.13333333333333333
11,2020-02-22,1,0,0,0,0,0,3,0,0,0.25,0.2
12,2020-02-23,13,3,0,0,0,0,2,2,0,0.65,0.2795698924731183
13,2020-02-24,12,6,0,1,2,0,0,2,0,0.6086956521739131,0.36062861869313484
14,2020-02-25,6,1,1,1,0,0,3,6,0,0.3333333333333333,0.2222222222222222
15,2020-02-26,12,7,0,0,0,0,0,1,0,0.6,0.25806451612903225
16,2020-02-27,9,4,0,0,0,0,0,1,0,0.6428571428571429,0.27272727272727276
17,2020-02-28,16,7,0,0,0,0,0,7,0,0.5333333333333333,0.2735042735042735
18,2020-02-29,17,9,1,0,0,0,0,2,0,0.5862068965517241,0.25757575757575757
19,2020-03-01,9,4,0,0,0,0,0,5,2,0.55,0.42087542087542085
20,2020-03-02,20,15,0,0,0,0,8,14,2,0.3728813559322034,0.2629222629222629
21,2020-03-03,21,14,2,0,0,0,7,11,2,0.40350877192982454,0.2709401709401709
22,2020-03-04,15,11,0,0,0,0,0,14,1,0.3902439024390244,0.2855691056910569
23,2020-03-05,19,7,2,0,0,0,6,22,6,0.4032258064516129,0.33423180592991913
24,2020-03-06,20,9,2,0,0,0,8,24,3,0.3484848484848485,0.27598870056497177
25,2020-03-07,8,4,1,0,0,0,6,12,4,0.34285714285714286,0.2962962962962963
26,2020-03-08,4,3,1,0,0,0,4,8,0,0.2,0.16666666666666666
27,2020-03-09,15,7,0,0,0,0,3,11,2,0.4473684210526316,0.32407407407407407
28,2020-03-10,29,13,1,0,0,0,1,21,1,0.45454545454545453,0.2915068493150685
29,2020-03-11,27,21,1,0,0,0,6,16,5,0.42105263157894735,0.32052229613205224
30,2020-03-12,38,14,2,1,3,0,12,20,1,0.46153846153846156,0.3085688475932378
31,2020-03-13,43,7,2,0,1,0,5,28,2,0.5227272727272727,0.3388727188727189
32,2020-03-14,22,11,0,0,1,0,4,18,6,0.46774193548387094,0.38774000578908435
33,2020-03-15,23,15,3,0,1,0,8,75,5,0.2230769230769231,0.25493156199677935
34,2020-03-16,27,15,0,1,0,0,15,53,3,0.2631578947368421,0.23879173290937997
35,2020-03-17,42,17,2,0,0,0,22,38,8,0.3875968992248062,0.2923760683760684
36,2020-03-18,51,30,1,0,0,0,22,100,11,0.28837209302325584,0.26992955135335556
37,2020-03-19,63,30,0,0,1,1,21,100,14,0.3391304347826087,0.30452288914376335
38,2020-03-20,54,28,1,0,1,1,24,102,12,0.3004484304932735,0.28124659474773894
39,2020-03-21,67,26,2,0,0,1,33,91,17,0.35443037974683544,0.29945320380102985
40,2020-03-22,58,46,0,0,1,0,31,133,22,0.27835051546391754,0.27454148490847313
41,2020-03-23,78,71,11,1,4,1,35,190,29,0.2642857142857143,0.26515784346263604
42,2020-03-24,71,43,3,1,0,0,27,131,24,0.31666666666666665,0.29569082639258076
43,2020-03-25,82,65,8,0,0,1,26,91,13,0.3321678321678322,0.26487559202187977
44,2020-03-26,83,55,4,0,0,0,18,100,17,0.36101083032490977,0.3003587633217263
45,2020-03-27,79,51,3,1,2,1,17,102,9,0.33962264150943394,0.27992444297053937
46,2020-03-28,95,60,8,2,1,0,18,120,23,0.363914373088685,0.31130204532026556
47,2020-03-29,104,61,3,1,8,0,17,173,24,0.34782608695652173,0.32671884123733047
48,2020-03-30,59,37,5,0,12,0,19,119,16,0.3258426966292135,0.32513611776181606
49,2020-03-31,71,45,4,3,3,2,20,100,19,0.34831460674157305,0.3112400858012893
