chunk_idx,timestamp,true_0_pred_0,true_0_pred_1,true_1_pred_0,true_1_pred_1,accuracy,f1_macro
0,,14,115,6,145,0.5678571428571428,0.4467577850716047
1,,1,37,5,85,0.671875,0.4236706689536878
2,,9,103,10,152,0.5875912408759124,0.4332106833617076
3,,4,38,4,86,0.6818181818181818,0.4818691588785047
4,,2,101,6,144,0.5770750988142292,0.38257498004333446
5,,7,58,9,119,0.6528497409326425,0.47658368751264923
6,,2,72,4,134,0.6415094339622641,0.4145348837209303
7,,5,84,6,161,0.6484375,0.4407766990291262
8,,4,14,7,91,0.8189655172413793,0.5862068965517242
9,,7,92,2,157,0.6356589147286822,0.4496187363834423
10,,0,28,7,106,0.75177304964539,0.4291497975708502
11,,3,62,5,141,0.6824644549763034,0.4451073517290105
12,,5,54,7,113,0.659217877094972,0.4641507582077833
13,,2,64,5,101,0.5988372093023255,0.400090987211242
14,,6,74,3,146,0.6637554585152838,0.46307968697664503
15,,4,43,5,83,0.6444444444444445,0.459279038718291
16,,5,99,5,151,0.6,0.41578083138881683
17,,4,40,7,94,0.6758620689655173,0.4727272727272728
18,,10,100,6,138,0.5826771653543307,0.44062162386769715
19,,4,34,7,87,0.6893939393939394,0.48628381585192215
20,,5,61,8,111,0.6270270270270271,0.4447344382095785
21,,9,73,4,159,0.6857142857142857,0.4972684876748834
22,,6,28,3,87,0.75,0.5639251276233692
23,,7,65,7,146,0.68,0.48249424993611045
24,,2,18,5,69,0.7553191489361702,0.5026455026455026
25,,3,56,7,131,0.6802030456852792,0.4465551839464883
26,,5,38,7,116,0.7289156626506024,0.5096816540859862
27,,3,55,6,99,0.6257668711656442,0.42701550164236735
28,,5,88,6,141,0.6083333333333333,0.4230769230769231
29,,1,27,3,85,0.7413793103448276,0.45625
30,,5,86,10,152,0.6205533596837944,0.4271698113207547
31,,1,25,4,103,0.7819548872180451,0.4705559368565546
32,,3,60,7,162,0.7112068965517241,0.4554181410503451
33,,1,40,3,131,0.7542857142857143,0.45173041894353366
34,,4,41,8,131,0.7336956521739131,0.4913973035482597
35,,8,71,8,164,0.6852589641434262,0.4871589292641924
36,,4,20,2,104,0.8307692307692308,0.5855072463768116
37,,12,84,13,148,0.622568093385214,0.4757638845078123
38,,1,19,4,93,0.8034188034188035,0.4849760765550239
39,,3,55,7,121,0.6666666666666666,0.4421439628482972
40,,7,54,8,123,0.6770833333333334,0.4914559125085441
41,,5,42,7,121,0.72,0.5005533228493215
42,,12,70,4,162,0.7016129032258065,0.5294841554712337
43,,3,31,4,94,0.7348484848484849,0.4946953953844471
44,,7,86,5,163,0.6513409961685823,0.45755395683453237
45,,3,27,4,107,0.7801418439716312,0.5178157749586321
46,,9,67,7,142,0.6711111111111111,0.4944741316492592
47,,4,51,2,132,0.7195767195767195,0.4819775559807623
48,,1,40,2,113,0.7307692307692307,0.4443690637720488
49,,6,63,7,160,0.7033898305084746,0.4834271419637273
50,,2,19,3,83,0.794392523364486,0.5184124386252046
51,,3,66,5,147,0.6787330316742082,0.44170076498843625
52,,1,4,5,73,0.891566265060241,0.5618768328445748
53,,4,58,3,142,0.7053140096618358,0.4695652173913043
54,,1,32,6,130,0.7751479289940828,0.46124161073825504
55,,4,28,2,112,0.7945205479452054,0.5462080397845006
56,,7,71,3,144,0.6711111111111111,0.4773355097940733
57,,1,13,5,79,0.8163265306122449,0.49886363636363634
58,,10,55,3,148,0.7314814814814815,0.5462842242503259
59,,3,20,4,77,0.7692307692307693,0.5325842696629214
60,,2,54,4,149,0.722488038277512,0.4507973903588257
61,,10,37,4,123,0.764367816091954,0.5925058548009368
62,,3,33,3,110,0.7583892617449665,0.5011160714285714
63,,5,73,5,140,0.6502242152466368,0.4478796343321483
64,,2,14,7,85,0.8055555555555556,0.5250261780104712
65,,7,62,5,136,0.680952380952381,0.4875996940893696
66,,3,24,4,84,0.7565217391304347,0.5168067226890756
67,,8,38,9,144,0.7638190954773869,0.5568348732527837
68,,2,28,4,137,0.8128654970760234,0.5032679738562091
69,,9,32,5,117,0.7730061349693251,0.595370680979537
70,,7,72,6,141,0.6548672566371682,0.4677536231884058
71,,0,11,4,80,0.8421052631578947,0.45714285714285713
72,,8,39,5,150,0.7821782178217822,0.5693798449612403
73,,3,16,4,76,0.797979797979798,0.5572450805008945
74,,4,51,6,132,0.7046632124352331,0.47275341480948957
75,,2,36,5,103,0.7191780821917808,0.4614484930274404
76,,3,31,2,97,0.7518796992481203,0.5042358522534733
77,,7,34,7,126,0.764367816091954,0.55730685696556
78,,1,14,6,85,0.8113207547169812,0.49282296650717705
79,,0,41,5,126,0.7325581395348837,0.4228187919463087
80,,0,18,1,93,0.8303571428571429,0.45365853658536587
81,,4,48,5,115,0.6918604651162791,0.47193419452007185
82,,5,40,6,116,0.7245508982035929,0.506551901336074
83,,2,53,4,103,0.6481481481481481,0.4244218662344948
84,,5,46,5,101,0.6751592356687898,0.481176699280762
85,,1,32,3,82,0.7033898305084746,0.4390873285345647
86,,5,80,3,139,0.6343612334801763,0.43880499210675245
87,,2,27,5,89,0.7398373983739838,0.4793650793650793
88,,8,51,7,121,0.6898395721925134,0.5114414414414414
89,,2,34,3,117,0.7628205128205128,0.48051480514805145
90,,1,39,4,102,0.7054794520547946,0.43517768780926674
91,,7,69,5,115,0.6224489795918368,0.45783492822966504
92,,1,22,3,83,0.7706422018348624,0.4715920108590266
93,,6,62,4,122,0.6597938144329897,0.4704714640198511
94,,3,16,1,65,0.8,0.5726116533569949
95,,2,41,2,120,0.7393939393939394,0.4665814600405985
96,,2,44,0,109,0.7161290322580646,0.45769720101781175
97,,3,29,2,86,0.7416666666666667,0.5047264012781254
98,,8,91,4,118,0.5701357466063348,0.42856754035001765
99,,0,9,1,77,0.8850574712643678,0.4695121951219512
100,,1,15,4,80,0.81,0.49454642192072357
101,,0,8,2,52,0.8387096774193549,0.45614035087719296
102,,1,18,3,69,0.7692307692307693,0.4774405250205086
103,,1,20,3,78,0.7745098039215687,0.47575418994413404
104,,0,42,1,90,0.6766917293233082,0.40358744394618834
105,,3,82,1,106,0.5677083333333334,0.3930298990668444
106,,2,24,0,84,0.7818181818181819,0.5089285714285714
107,,3,79,2,119,0.6009852216748769,0.40752351097178685
108,,0,32,3,81,0.6982758620689655,0.41116751269035534
109,,6,53,5,114,0.6741573033707865,0.4843156843156843
110,,7,47,1,89,0.6666666666666666,0.5067085355409648
111,,1,15,3,60,0.7721518987341772,0.48478260869565215
112,,6,46,1,99,0.6907894736842105,0.5057765479072985
113,,3,18,1,81,0.8155339805825242,0.5675138121546961
114,,10,66,5,120,0.6467661691542289,0.4957421999222642
115,,6,17,4,75,0.7941176470588235,0.620414673046252
116,,4,58,4,105,0.6374269005847953,0.44317226890756306
117,,5,37,5,92,0.697841726618705,0.5032334921715453
118,,3,28,8,90,0.7209302325581395,0.48809523809523814
119,,7,56,5,111,0.659217877094972,0.48555948174322733
120,,0,13,2,77,0.8369565217391305,0.4556213017751479
121,,3,81,3,123,0.6,0.40606060606060607
122,,2,46,3,71,0.5983606557377049,0.40946359774770325
123,,3,45,4,110,0.6975308641975309,0.4634673876309564
124,,6,67,2,99,0.603448275862069,0.44486059092800667
125,,2,39,3,89,0.6842105263157895,0.44802371541501973
126,,10,79,6,109,0.5833333333333334,0.454974068835455
127,,1,23,6,71,0.7128712871287128,0.44746274287870214
128,,11,71,6,110,0.6111111111111112,0.48148148148148145
129,,2,18,0,80,0.82,0.5403472931562819
130,,4,60,4,105,0.630057803468208,0.4387672343876723
131,,2,43,1,102,0.7027027027027027,0.45295698924731187
132,,4,39,2,93,0.7028985507246377,0.4913242830171716
133,,6,77,7,112,0.5841584158415841,0.42613636363636365
134,,2,31,2,78,0.7079646017699115,0.46675246675246673
135,,9,98,4,107,0.5321100917431193,0.41360759493670884
136,,3,32,1,72,0.6944444444444444,0.4837027379400261
137,,7,51,5,110,0.6763005780346821,0.49855072463768113
138,,9,48,0,90,0.673469387755102,0.5311004784688995
139,,4,35,7,89,0.6888888888888889,0.48454545454545456
140,,7,40,7,91,0.6758620689655173,0.5121340110244111
141,,1,16,1,65,0.7951807228915663,0.49480844969566773
142,,12,66,8,105,0.612565445026178,0.49216728945099164
143,,1,33,2,72,0.6759259259259259,0.42926166389853543
144,,9,56,3,113,0.6740331491712708,0.5133743449532924
145,,5,54,6,88,0.6078431372549019,0.4443099273607748
146,,5,47,3,79,0.6268656716417911,0.4631410256410256
147,,15,85,9,105,0.5607476635514018,0.46636247877758913
148,,6,36,0,64,0.660377358490566,0.5152439024390244
149,,16,70,3,104,0.6217616580310881,0.5224877139467887
150,,3,26,3,64,0.6979166666666666,0.4933575978161966
151,,9,77,9,84,0.5195530726256983,0.41724712295578437
152,,10,56,3,70,0.5755395683453237,0.47834107245086194
153,,10,37,4,75,0.6746031746031746,0.556604583297571
154,,15,73,8,108,0.6029411764705882,0.4987714987714988
155,,4,36,4,68,0.6428571428571429,0.46969696969696967
156,,12,82,5,97,0.5561224489795918,0.45330383764547466
157,,6,29,8,60,0.6407766990291263,0.5046145846873782
158,,13,98,8,94,0.5023474178403756,0.4182127396413111
159,,10,58,6,79,0.5816993464052288,0.47490347490347484
160,,3,21,8,69,0.7128712871287128,0.49888793840889645
161,,3,91,3,104,0.5323383084577115,0.3743708609271523
162,,1,32,1,64,0.6632653061224489,0.4260869565217391
163,,1,83,2,102,0.5478723404255319,0.36443542934415146
164,,1,25,0,75,0.7524752475247525,0.4656084656084656
165,,5,87,1,108,0.5621890547263682,0.40628356605800214
166,,3,54,1,77,0.5925925925925926,0.4176013805004314
167,,6,40,2,84,0.6818181818181818,0.5111111111111111
168,,1,101,2,113,0.5253456221198156,0.35298885511651473
169,,1,32,0,75,0.7037037037037037,0.4414996767937944
170,,4,71,0,117,0.6302083333333334,0.43423946876945424
171,,0,46,0,49,0.5157894736842106,0.3402777777777778
172,,4,84,1,98,0.5454545454545454,0.39176520108674856
173,,0,32,0,74,0.6981132075471698,0.4111111111111111
174,,1,50,2,84,0.6204379562043796,0.4003367003367003
175,,5,85,2,107,0.5628140703517588,0.40702811932732813
176,,0,22,0,71,0.7634408602150538,0.4329268292682927
177,,2,99,0,97,0.5,0.350475496205971
178,,1,30,1,71,0.6990291262135923,0.440707654580487
179,,2,46,2,130,0.7333333333333333,0.4605394605394605
180,,0,24,4,122,0.8133333333333334,0.4485294117647059
181,,0,7,3,119,0.9224806201550387,0.4798387096774194
182,,2,32,3,152,0.8148148148148148,0.4996596324029952
183,,0,3,1,88,0.9565217391304348,0.4888888888888889
184,,2,38,4,164,0.7980769230769231,0.48672150411280846
185,,0,8,1,99,0.9166666666666666,0.4782608695652174
186,,0,33,3,137,0.791907514450867,0.44193548387096776
187,,0,26,0,122,0.8243243243243243,0.45185185185185184
188,,0,20,3,112,0.8296296296296296,0.4534412955465587
189,,2,26,2,153,0.8469945355191257,0.5205838323353293
190,,0,4,0,82,0.9534883720930233,0.4880952380952381
191,,1,38,1,171,0.8151658767772512,0.4732091415402343
192,,0,13,0,99,0.8839285714285714,0.46919431279620855
193,,0,27,1,146,0.8390804597701149,0.45625
194,,0,25,1,127,0.8300653594771242,0.45357142857142857
195,,1,16,0,119,0.8823529411764706,0.5240594925634295
196,,2,28,1,147,0.8370786516853933,0.5157144197391875
197,,1,12,0,94,0.8878504672897196,0.5414285714285714
198,,1,54,3,168,0.7477876106194691,0.44443006857290723
199,,0,14,1,109,0.8790322580645161,0.4678111587982833
200,,0,35,4,163,0.806930693069307,0.4465753424657534
201,,0,41,2,112,0.7225806451612903,0.41947565543071164
202,,0,28,1,109,0.7898550724637681,0.44129554655870445
203,,0,65,0,158,0.7085201793721974,0.4146981627296588
204,,0,23,0,89,0.7946428571428571,0.4427860696517413
205,,0,74,0,150,0.6696428571428571,0.40106951871657753
206,,0,8,0,63,0.8873239436619719,0.4701492537313433
207,,0,77,0,144,0.6515837104072398,0.39452054794520547
208,,0,65,0,118,0.644808743169399,0.3920265780730897
209,,0,39,0,115,0.7467532467532467,0.4275092936802974
210,,0,64,0,154,0.7064220183486238,0.41397849462365593
211,,0,28,0,91,0.7647058823529411,0.43333333333333335
212,,0,85,0,150,0.6382978723404256,0.38961038961038963
213,,0,32,0,103,0.762962962962963,0.4327731092436975
214,,0,76,0,150,0.6637168141592921,0.39893617021276595
215,,0,44,0,121,0.7333333333333333,0.4230769230769231
216,,0,29,0,112,0.7943262411347518,0.4426877470355731
217,,0,83,0,144,0.6343612334801763,0.3881401617250674
218,,0,15,0,80,0.8421052631578947,0.45714285714285713
219,,0,66,0,115,0.6353591160220995,0.3885135135135135
220,,0,39,0,40,0.5063291139240507,0.33613445378151263
