chunk_idx,timestamp,true_0_pred_0,true_0_pred_1,true_1_pred_0,true_1_pred_1,accuracy,f1_macro
0,,46,83,27,124,0.6071428571428571,0.5740914873610267
1,,5,33,13,77,0.640625,0.4742857142857143
2,,55,57,32,130,0.6751824817518248,0.6488747462239564
3,,21,21,14,76,0.7348484848484849,0.679144385026738
4,,31,72,25,125,0.616600790513834,0.5551991010095518
5,,28,37,27,101,0.6683937823834197,0.6130325814536342
6,,27,47,16,122,0.7028301886792453,0.6281633675770484
7,,38,51,35,132,0.6640625,0.6117107583774251
8,,7,11,11,87,0.8103448275862069,0.6383219954648526
9,,43,56,24,135,0.689922480620155,0.644750430292599
10,,3,25,13,100,0.7304964539007093,0.48834988540870894
11,,34,31,19,127,0.7630331753554502,0.7058987511150758
12,,24,35,11,109,0.7430167597765364,0.6681979368149581
13,,23,43,16,90,0.6569767441860465,0.5956166567045228
14,,37,43,19,130,0.7292576419213974,0.6757855316039458
15,,16,31,8,80,0.7111111111111111,0.6273621629273126
16,,32,72,17,139,0.6576923076923077,0.5878969208028352
17,,7,37,11,90,0.6689655172413793,0.5076400679117148
18,,31,79,21,123,0.6062992125984252,0.5468493541711268
19,,12,26,14,80,0.696969696969697,0.5875
20,,28,38,17,102,0.7027027027027027,0.646074646074646
21,,30,52,22,141,0.6979591836734694,0.6199480127452625
22,,5,29,5,85,0.7258064516129032,0.5303030303030303
23,,26,46,23,130,0.6933333333333334,0.6100128111733527
24,,6,14,7,67,0.776595744680851,0.6140762463343108
25,,17,42,20,118,0.6852791878172588,0.5730564876957495
26,,12,31,18,105,0.7048192771084337,0.5697889670492411
27,,19,39,13,92,0.6809815950920245,0.6009416195856874
28,,38,55,19,128,0.6916666666666667,0.6412121212121212
29,,3,25,6,82,0.7327586206896551,0.5015939015939016
30,,28,63,19,143,0.6758893280632411,0.5914855072463768
31,,7,19,14,93,0.7518796992481203,0.5735937044593413
32,,21,42,24,145,0.7155172413793104,0.6017478152309613
33,,12,29,10,124,0.7771428571428571,0.6225319396051103
34,,13,32,23,116,0.7010869565217391,0.5646750118294834
35,,21,58,13,159,0.7171314741035857,0.594581067861774
36,,4,20,7,99,0.7923076923076923,0.5542857142857143
37,,37,59,31,130,0.6498054474708171,0.5970383275261324
38,,7,13,8,89,0.8205128205128205,0.6472361809045226
39,,17,41,17,111,0.6881720430107527,0.5812111801242236
40,,15,46,20,111,0.65625,0.5416666666666667
41,,16,31,16,112,0.7314285714285714,0.6158157784109487
42,,26,56,13,153,0.7217741935483871,0.6228760330578512
43,,11,23,9,89,0.7575757575757576,0.6275132275132275
44,,39,54,23,145,0.7049808429118773,0.6467082710732179
45,,11,19,10,101,0.7943262411347518,0.6529157117392412
46,,22,54,11,138,0.7111111111111111,0.606526944496758
47,,17,38,9,125,0.7513227513227513,0.6307519640852974
48,,10,31,15,100,0.7051282051282052,0.5580192165558019
49,,20,49,20,147,0.7076271186440678,0.5884449162180605
50,,8,13,3,83,0.8504672897196262,0.706043956043956
51,,21,48,20,132,0.6923076923076923,0.5884994523548741
52,,3,2,9,69,0.8674698795180723,0.6395578365574418
53,,18,44,15,130,0.714975845410628,0.5969971951823132
54,,9,24,9,127,0.8047337278106509,0.6189792990366878
55,,12,20,10,104,0.7945205479452054,0.6591970121381886
56,,26,52,17,130,0.6933333333333334,0.6100128111733527
57,,6,8,5,79,0.8673469387755102,0.7019883040935673
58,,19,46,20,131,0.6944444444444444,0.5820825515947468
59,,6,17,4,77,0.7980769230769231,0.6218181818181818
60,,17,39,20,133,0.7177033492822966,0.5920264681555004
61,,16,31,16,111,0.7298850574712644,0.6151710507740812
62,,9,27,12,101,0.738255033557047,0.5769818737715658
63,,27,51,16,129,0.6995515695067265,0.6200635727908456
64,,4,12,8,84,0.8148148148148148,0.5896656534954408
65,,18,51,15,126,0.6857142857142857,0.5726970033296338
66,,4,23,6,82,0.7478260869565218,0.5329785744293516
67,,14,32,16,137,0.7587939698492462,0.6096763648251062
68,,8,22,9,132,0.8187134502923976,0.6176703930760908
69,,15,26,10,112,0.7791411042944786,0.6580419580419581
70,,20,59,16,131,0.668141592920354,0.5626370790865695
71,,1,10,3,81,0.8631578947368421,0.5295238095238095
72,,19,28,24,131,0.7425742574257426,0.6283085633404105
73,,9,10,4,76,0.8585858585858586,0.7390813253012047
74,,16,39,19,119,0.6994818652849741,0.5798048048048048
75,,7,31,8,100,0.7328767123287672,0.5504855135391173
76,,2,32,13,86,0.6616541353383458,0.4371296905859118
77,,10,31,12,121,0.7528735632183908,0.5832915622389306
78,,5,10,4,87,0.8679245283018868,0.6710992907801419
79,,13,28,15,116,0.75,0.6102239789196311
80,,1,17,4,90,0.8125,0.491239454899416
81,,13,39,13,107,0.6976744186046512,0.568922305764411
82,,4,41,8,114,0.7065868263473054,0.48172778516688836
83,,8,47,6,101,0.6728395061728395,0.5120204603580563
84,,8,43,8,98,0.6751592356687898,0.5161641186778657
85,,7,26,4,81,0.7457627118644068,0.5809659090909091
86,,21,64,8,134,0.6828193832599119,0.578328173374613
87,,4,25,3,91,0.7723577235772358,0.5444444444444445
88,,9,50,6,122,0.7005347593582888,0.5282882882882883
89,,5,31,4,116,0.7756410256410257,0.5455680399500624
90,,10,30,3,103,0.773972602739726,0.6196415883792532
91,,15,61,7,113,0.6530612244897959,0.5374149659863945
92,,3,20,2,84,0.7981651376146789,0.5492481203007519
93,,20,48,7,119,0.7164948453608248,0.6166696604993713
94,,4,15,5,61,0.7647058823529411,0.5724346076458753
95,,14,29,11,111,0.7575757575757576,0.6295464750785811
96,,11,35,4,105,0.7483870967741936,0.6020146158404108
97,,12,20,9,79,0.7583333333333333,0.6488749873877511
98,,24,75,8,114,0.6244343891402715,0.5497655924007756
99,,1,8,6,72,0.8390804597701149,0.5181962025316456
100,,6,10,9,75,0.81,0.6373353693452949
101,,0,8,4,50,0.8064516129032258,0.44642857142857145
102,,5,14,9,63,0.7472527472527473,0.5743339434614603
103,,3,18,5,76,0.7745098039215687,0.5377339901477832
104,,11,31,5,86,0.7293233082706767,0.6031167108753315
105,,15,70,7,100,0.5989583333333334,0.5011977462127603
106,,4,22,3,81,0.7727272727272727,0.554367201426025
107,,20,62,4,117,0.6748768472906403,0.578679245283019
108,,8,24,7,77,0.7327586206896551,0.586428982173663
109,,15,44,13,106,0.6797752808988764,0.5664658377131138
110,,16,38,3,87,0.7152777777777778,0.6238292449824785
111,,1,15,2,61,0.7848101265822784,0.49148049981067776
112,,20,32,10,90,0.7236842105263158,0.6493078444297957
113,,3,18,7,75,0.7572815533980582,0.5253456221198156
114,,24,52,14,111,0.6716417910447762,0.5959429824561404
115,,9,14,6,73,0.803921568627451,0.6766011414077362
116,,12,50,4,105,0.6842105263157895,0.5515734265734266
117,,9,33,10,87,0.6906474820143885,0.5484626425927325
118,,8,23,10,88,0.7441860465116279,0.5843179377013963
119,,20,43,14,102,0.6815642458100558,0.5969901647114587
120,,2,11,4,75,0.8369565217391305,0.5598086124401913
121,,17,67,10,116,0.6333333333333333,0.5285576838974897
122,,8,40,3,71,0.6475409836065574,0.5193770041227669
123,,10,38,10,104,0.7037037037037037,0.5533088235294118
124,,14,59,4,97,0.6379310344827587,0.5312780604609398
125,,9,32,6,86,0.7142857142857143,0.5702380952380952
126,,26,63,12,103,0.6323529411764706,0.5712724521534452
127,,3,21,9,68,0.7029702970297029,0.49297188755020077
128,,14,68,7,109,0.6212121212121212,0.5079359819742204
129,,8,12,2,78,0.86,0.7254901960784313
130,,10,54,8,101,0.6416184971098265,0.5045269770879527
131,,12,33,6,97,0.7364864864864865,0.6067852033517269
132,,10,33,3,92,0.7391304347826086,0.5967532467532467
133,,21,62,12,107,0.6336633663366337,0.5525622605363985
134,,3,30,4,76,0.6991150442477876,0.48360215053763445
135,,19,88,5,106,0.573394495412844,0.4925791515454887
136,,7,28,4,69,0.7037037037037037,0.5580562659846547
137,,16,42,10,105,0.6994219653179191,0.5912395492548164
138,,7,50,4,86,0.6326530612244898,0.4834721499219157
139,,5,34,8,88,0.6888888888888889,0.49982357092448837
140,,12,35,4,94,0.7310344827586207,0.6045731067757499
141,,3,14,4,62,0.7831325301204819,0.5616197183098591
142,,17,61,15,98,0.6020942408376964,0.5148395721925134
