window_index,t_window,split,quant_prev_-1,quant_prev_0,quant_prev_1
15,1455062400.0,test,0.1241791090832859,0.6176588579630695,0.2581620329536445
16,1455148800.0,test,0.1736685558515159,0.6337720424453185,0.1925594017031655
17,1455235200.0,test,0.2622586605357837,0.7301961275324569,0.0075452119317592
18,1455321600.0,test,0.2439558745402326,0.7560441254597674,0.0
19,1455408000.0,test,0.1501822097968046,0.0,0.8498177902031955
20,1455494400.0,test,0.0,0.4890157216189281,0.5109842783810719
21,1455580800.0,test,0.0361900188711959,0.8101335216519576,0.1536764594768464
22,1455667200.0,test,0.1757408378357068,0.8242591621642932,0.0
23,1455753600.0,test,0.124632129962931,0.6598291958519665,0.2155386741851024
24,1455840000.0,test,0.1413067564528536,0.8586932435471464,0.0
25,1455926400.0,test,0.0,0.9679036199307552,0.0320963800692446
26,1456012800.0,test,0.0,0.4491243813397991,0.5508756186602008
27,1456099200.0,test,0.0486413287513597,0.7049786064328705,0.2463800648157696
28,1456185600.0,test,0.2565667561501446,0.2498780365813618,0.4935552072684936
29,1456272000.0,test,0.2322156203026813,0.6692105597791024,0.0985738199182162
30,1456358400.0,test,0.1326465038633108,0.0914582266822179,0.7758952694544712
31,1456444800.0,test,0.0,1.0,0.0
32,1456531200.0,test,0.250844707850216,0.7491552921497839,0.0
33,1456617600.0,test,0.2948994614651099,0.7051005385348901,0.0
34,1456704000.0,test,0.165965967931464,0.8255039915331539,0.008530040535382
35,1456790400.0,test,0.0072253694582171,0.8828814312322876,0.1098931993094952
36,1456876800.0,test,0.0,0.8405531562384712,0.1594468437615287
37,1456963200.0,test,0.0,0.728696487275145,0.271303512724855
38,1457049600.0,test,0.0,1.0,0.0
39,1457136000.0,test,0.1669624106145446,0.7408261619110458,0.0922114274744094
40,1457222400.0,test,0.2010601666225811,0.4732209511439511,0.3257188822334678
41,1457308800.0,test,0.1325646972643028,0.6217545542931087,0.2456807484425885
42,1457395200.0,test,0.0667944843421962,0.715741328576874,0.2174641870809298
43,1457481600.0,test,0.2716822529676601,0.6897024727978728,0.0386152742344671
44,1457568000.0,test,0.1413067564528536,0.8586932435471464,0.0
45,1457654400.0,test,0.167393844207931,0.8326061557920689,0.0
46,1457740800.0,test,0.1501822097968046,0.8498177902031955,0.0
47,1457827200.0,test,0.1322439569173554,0.8677560430826445,0.0
48,1457913600.0,test,0.0,1.0,0.0
49,1458000000.0,test,0.0947150579260589,0.805076238597176,0.1002087034767649
50,1458086400.0,test,0.0247497247050996,0.761317649022358,0.2139326262725423
51,1458172800.0,test,0.0,0.9679036199307552,0.0320963800692446
52,1458259200.0,test,0.0,1.0,0.0
53,1458345600.0,test,0.0,1.0,0.0
54,1458432000.0,test,0.0,1.0,0.0
55,1458518400.0,test,0.0,1.0,0.0
56,1458604800.0,test,0.0,1.0,0.0
57,1458691200.0,test,0.0,1.0,0.0
58,1458777600.0,test,0.0,1.0,0.0
59,1458864000.0,test,0.0,1.0,0.0
60,1458950400.0,test,0.1413067564528536,0.8586932435471464,0.0
61,1459036800.0,test,0.0,1.0,0.0
62,1459123200.0,test,0.0,1.0,0.0
63,1459209600.0,test,0.0,1.0,0.0
