window_index,split,n_samples,t_window,M_r0_c0,M_r0_c1,M_r0_c2,M_r1_c0,M_r1_c1,M_r1_c2,M_r2_c0,M_r2_c1,M_r2_c2,score_mean_-1,score_mean_0,score_mean_1
0,val,144,1453766400.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
1,val,144,1453852800.0,0.35312966397810264,0.3351039218484709,0.31176641417342643,0.32286589344325733,0.3399805104320402,0.33715359612470247,0.3147508037466001,0.3429979305755509,0.34225126567784897,0.3302487870559867,0.3393607876186873,0.330390425325326
2,val,144,1453939200.0,0.3731387996392924,0.33601682890166984,0.29084437145903774,0.31256929544755035,0.34658520302749846,0.34084550152495113,0.29674284945042984,0.3523948611862542,0.35086228936331604,0.32748364817909087,0.3449989643718075,0.3275173874491016
3,val,144,1454025600.0,0.39328264742187696,0.3360784866679828,0.2706388659101402,0.30245071884999764,0.35314265359941305,0.3444066275505894,0.27934494679555194,0.36150538889865574,0.3591496643057924,0.32502610435580886,0.3502421763886838,0.3247317192555073
4,val,144,1454112000.0,0.4134838917135979,0.3353048481008757,0.2512112601855265,0.29251671090542086,0.35964836328877403,0.3478349258058051,0.26258598042191594,0.3703140102727405,0.36710000930534364,0.3228621943469782,0.3550890738874634,0.3220487317655584
5,val,144,1454198400.0,0.4336672291021226,0.33372070481817157,0.23261206607970591,0.2827731814659909,0.3660981012784423,0.3511287172555669,0.2464883349981899,0.37880842654070696,0.37470323846110304,0.3209762485221011,0.35954241087910693,0.31948134059879196
6,val,144,1454284800.0,0.4537604792082661,0.33135881182926386,0.21488070896247008,0.27322540200416134,0.37248791210514953,0.35428668589068907,0.2310681028488472,0.3869794568302015,0.38195244032095127,0.31935132802042493,0.3636087269215383,0.3170399450580368
7,val,144,1454371200.0,0.4736955416169205,0.32825886465585513,0.19804559372722427,0.263878008611699,0.37881412094341543,0.3573078704448856,0.2163353901807087,0.39482090103312234,0.3888437087861689,0.3179696468031094,0.36729796221079763,0.3147323909860929
8,val,144,1454457600.0,0.49340917900433034,0.3244663772381736,0.1821244437574961,0.25473500874052746,0.38507333692270784,0.3601916543367646,0.20229470330060034,0.4023293613290085,0.395375935370391,0.3168129636818194,0.37062302516329665,0.3125640111548839
9,val,144,1454544000.0,0.5128436165773049,0.3200315086858138,0.16712487473688123,0.24579979142300615,0.391262454557718,0.36293775401927586,0.1889453958807161,0.40950403162234716,0.40155057249693676,0.31586293462700904,0.3735993316219597,0.3105377337510313
10,val,144,1454630400.0,0.5319469573170422,0.3150078838489217,0.15304515883403616,0.23707514068691102,0.39737865338771683,0.3655462059253722,0.17628215884362577,0.4163464639752543,0.40737137718112,0.315101418949193,0.3762443337372976,0.30865424731350943
