window_index,split,n_samples,t_window,M_r0_c0,M_r0_c1,M_r0_c2,M_r1_c0,M_r1_c1,M_r1_c2,M_r2_c0,M_r2_c1,M_r2_c2,score_mean_-1,score_mean_0,score_mean_1
0,val,144,1453766400.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
1,val,144,1453852800.0,0.3351170487923188,0.3442299207337697,0.3206530304739115,0.3238837226538965,0.3445680691388068,0.33154820820729675,0.3206435877105252,0.34375041699494446,0.3356059952945303,0.32654811971891357,0.34418280228917364,0.3292690779919129
2,val,144,1453939200.0,0.3366248102613541,0.3551814777544353,0.3081937119842106,0.31449565576066235,0.35594792419995563,0.32955642003938196,0.30818294795860546,0.35420113948233745,0.33761591255905715,0.3197678046602073,0.35511018047890947,0.32512201486088327
3,val,144,1454025600.0,0.3378557849968855,0.366174116089088,0.29597009891402654,0.30517831625136166,0.36746111907268003,0.32736056467595825,0.29596562996082715,0.36467274265015276,0.33936162738902004,0.3129999104030248,0.3661026592706403,0.32089743032633494
4,val,144,1454112000.0,0.33881020766767683,0.37719407539783956,0.2839957169344837,0.2959407868095498,0.37909534509402293,0.3249638680964272,0.28400460498673846,0.3751527028011036,0.34084269221215796,0.3062518664879884,0.37714737443098867,0.316600759081023
5,val,144,1454198400.0,0.3394893523584687,0.3882277976079247,0.27228285003360664,0.2867920070372706,0.3908378160405678,0.32237017692216163,0.2723115625538293,0.3856287941449202,0.3420596433012505,0.2995309739831895,0.3882314692644709,0.3122375567523396
6,val,144,1454284800.0,0.3398954960886844,0.3992619967520276,0.260842507159288,0.2777407317114011,0.40267532399423345,0.31958394429436543,0.2608968863862792,0.3960891470044533,0.3430139666092676,0.29284437139545494,0.39934215591690475,0.3078134726876403
7,val,144,1454371200.0,0.34003187466091594,0.4102837236698415,0.2496844016692426,0.26879548988952323,0.4145942989084009,0.31661021120207594,0.24976964314139893,0.4065223003004035,0.3437080565581976,0.28619900256394604,0.410466774292882,0.30333422314317204
8,val,144,1454457600.0,0.33990263174027135,0.42128042501869667,0.238816943241032,0.25996454528595325,0.42658087130968314,0.31345458340436355,0.23893758338094118,0.4169172479678938,0.34414516865116496,0.2796015868023886,0.42159284809875786,0.29880556509885353
9,val,144,1454544000.0,0.3395127621277723,0.43223999616380604,0.2282472417084217,0.2512558583259544,0.43862093752207104,0.31012320415197453,0.2284071540948166,0.4272634790791331,0.34432936682605025,0.2730585915161811,0.43270813758833676,0.2942332708954822
10,val,144,1454630400.0,0.3388680502288871,0.4431508276443433,0.21798112212676965,0.2426770502663221,0.45070022676182486,0.30662272297185306,0.21818352194154914,0.4375510115636239,0.3442654664948269,0.26657620747891947,0.44380068865659733,0.2896231038644832
11,val,144,1454716800.0,0.33797500473276443,0.45400184503485574,0.20802315023237986,0.2342353697438562,0.46280436942425707,0.3029602608318868,0.20827060625461727,0.44777041952801655,0.34395897421736626,0.26016032691041263,0.45485887799570984,0.28498079509387764
12,val,144,1454803200.0,0.3368407905102579,0.46478254213942205,0.1983766673503201,0.2259376620802535,0.474918965868096,0.2991433720516505,0.19867112077722876,0.45791285427952616,0.3434160249432452,0.2538165244559134,0.4658714540956814,0.2803120214484052
13,val,144,1454889600.0,0.3354731587114239,0.47548300756594597,0.18904383372263014,0.21779034163340746,0.4870296549997493,0.29518000336684314,0.18938662302969544,0.4679700592480307,0.3426433177222739,0.24755004112484227,0.47682757393790864,0.27562238493724905
14,val,144,1454976000.0,0.3338803759982787,0.4860939448279517,0.18002567917376966,0.20979936744184263,0.4991221819685022,0.29107845058965504,0.18041757018221252,0.4779343790812663,0.3416480507365211,0.2413657712074446,0.48771683529257337,0.27091739349998195
15,test,144,1455062400.0,0.3320711537889438,0.4966066862096574,0.17132216000139885,0.20197022236203035,0.511182464304167,0.2868473133338027,0.1717633802996211,0.4877987632541555,0.3404378564462234,0.23526825215019842,0.49852930458932665,0.266202443260475
16,test,144,1455148800.0,0.33005457831779866,0.5070132007058912,0.1629322209763102,0.1943078958486891,0.5231966558603226,0.2824954482909883,0.1634224978412162,0.4975567645869079,0.3390207375718759,0.22926165733590131,0.5092555403843738,0.2614828022797248
17,test,144,1455235200.0,0.3278400422358109,0.5173060964110222,0.15485386135316692,0.18681687047698423,0.535151207968148,0.2780319215548678,0.15539246233503756,0.5072025331072362,0.3374050045577262,0.2233497916826109,0.5198866124954687,0.2567635958219203
18,test,144,1455321600.0,0.32543717838871167,0.5274786177803872,0.14708420383090115,0.1795011122539317,0.5470329272568086,0.2734659604892597,0.1476699791992836,0.5167308057202751,0.3355992150804414,0.217536089947309,0.530414116919157,0.2520497931335341
19,test,144,1455408000.0,0.3228557963208173,0.5375246382239879,0.13961956545519494,0.1723640647153861,0.5588290296550614,0.2688069056295524,0.1402509917503608,0.526136892166351,0.3336121160832882,0.21182361759552143,0.5408301866818002,0.24734619572267852
20,test,144,1455494400.0,0.32010582196154674,0.5474386485161387,0.13245552952231465,0.1654086467557952,0.5705271901536977,0.2640641630905071,0.1331307535144604,0.5354166577526192,0.33145258873292044,0.20621507407726747,0.5511274988074851,0.2426574271152474
21,test,144,1455580800.0,0.31719724086223705,0.5572157415171488,0.1255870176206142,0.158637254091401,0.5821155879780426,0.2592471579305564,0.12630390004441855,0.5445665033409103,0.3291295966146712,0.20071279833268552,0.5612992776120339,0.2379879240552806
22,test,144,1455667200.0,0.3141400452645825,0.5668515937051232,0.11900836103029422,0.1520517642146038,0.593582946892342,0.2543652888930541,0.11976451953312368,0.5535833430622031,0.32665213740467325,0.1953187763374367,0.5713392945532229,0.23334192910934054
23,test,144,1455753600.0,0.31094418520046213,0.5763424440088024,0.11271337079073553,0.14565354465850458,0.6049185704318293,0.2494278849096661,0.11350622160632709,0.5624645802092556,0.32402919818441733,0.19003465048843127,0.5812418648832958,0.228723484628273
24,test,144,1455840000.0,0.30761952374726026,0.5856850704173457,0.10669540583539402,0.13944346435677213,0.6161123719320168,0.24444416371121108,0.10752220376911721,0.5712080817344183,0.32126971449646463,0.18486173062438319,0.5910018413612602,0.2241364280143566
