window_index,split,n_samples,t_window,M_r0_c0,M_r0_c1,M_r0_c2,M_r1_c0,M_r1_c1,M_r1_c2,M_r2_c0,M_r2_c1,M_r2_c2,score_mean_-1,score_mean_0,score_mean_1
0,val,4,11018.0,0.5654785185486748,0.40455345142249427,0.029968030028830982,0.2942128229277738,0.6986074026678644,0.0071797744043618425,0.2763668401970074,0.5161977701461127,0.2074353896568799,0.37868606055781867,0.5397862080788237,0.08152773136335757
1,val,4,11019.0,0.5642097216058114,0.4037197868362536,0.03207049155793498,0.28876256070092915,0.7009232875548901,0.01031415174418076,0.2716178541038124,0.5167711918254128,0.21161095407077488,0.3748633788035176,0.5404714220721855,0.08466519912429687
2,val,8,11020.0,0.5629409246619826,0.4028861222493774,0.03417295308863987,0.2833122984779411,0.70323917244028,0.013448529081778942,0.26686886800765425,0.5173446135050749,0.2157865184872709,0.3710406970491926,0.5411566360649107,0.08780266688589655
3,val,6,11021.0,0.5616721277171878,0.4020524576618665,0.036275414620945697,0.27786203625881983,0.705555057324024,0.016582906417156224,0.26211988190853147,0.5179180351850946,0.21996208290637398,0.3672180152948463,0.541841850056995,0.09094013464815863
4,val,2,11022.0,0.560403330771427,0.4012187930737204,0.03837787615485261,0.2724117740435551,0.7078709422061321,0.019717283750312814,0.2573708958064436,0.5184914568654727,0.2241376473280837,0.3633953335404752,0.5425270640484418,0.09407760241108304
5,val,7,11023.0,0.5591345338246999,0.4003851284849398,0.04048033769036032,0.2669615118321572,0.7101868270865943,0.02285166108124846,0.2526219097013893,0.5190648785462048,0.22831321175240596,0.35957265178608216,0.5432122780392463,0.09721507017467157
6,val,9,11024.0,0.5578657368770058,0.39955146389552515,0.042582799227469055,0.26151124962461586,0.7125027119654207,0.025986038409963462,0.24787292359337182,0.5196383002272988,0.23248877617932937,0.3557499700316645,0.543897492029415,0.10035253793892063
7,val,16,11025.0,0.5565969399283464,0.39871779930547496,0.04468526076617866,0.2560609874209414,0.7148185968426012,0.029120415736457475,0.24312393748238967,0.5202117219087505,0.23666434060885982,0.3519272882772258,0.5445827060189422,0.10349000570383199
8,val,54,11026.0,0.5553281429787208,0.39788413471479,0.046787722306489206,0.2506107252211251,0.7171344817181509,0.03225479306072401,0.23837495136844244,0.5207851435905606,0.24083990504099692,0.34810460652276276,0.5452679200078339,0.10662747346940339
9,val,165,11027.0,0.5540593460281283,0.3970504701234709,0.04889018384840078,0.24516046302517402,0.7194503665920495,0.035389170382776405,0.23362596525152893,0.5213585652727246,0.24501546947574648,0.3442819247682771,0.5459531339960817,0.10976494123564122
10,val,685,11028.0,0.5527905490765704,0.39621680553151634,0.050992645391913206,0.23971020083307928,0.7217662514643125,0.038523547702608255,0.22887697913165206,0.5219319869552507,0.24919103391309727,0.3404592430137673,0.5466383479836933,0.11290240900253959
11,val,1233,11029.0,0.5515217521240456,0.3953831409389276,0.053095106937026675,0.2342599386448516,0.7240821363349293,0.04165792502021902,0.224127993008805,0.5225054086381381,0.2533665983530569,0.33663656125923413,0.5473235619706651,0.11603987677010087
12,val,614,11030.0,0.5502529551705565,0.39454947634570237,0.055197568483741084,0.22880967646048017,0.7263980212039106,0.04479230233560927,0.2193790068829984,0.5230788303213801,0.2575421627956214,0.3328138795046784,0.5480087759569977,0.11917734453832392
13,val,519,11031.0,0.5489841582160976,0.39371581175184267,0.0573000300320598,0.22335941427997588,0.7287139060712458,0.0479266796487784,0.21463002075422563,0.5236522520049761,0.2617177272407983,0.32899119775009966,0.5486939899426881,0.12231481230721213
14,val,1128,11032.0,0.5477153612606751,0.39288214715734887,0.059402491581976,0.21790915210332779,0.7310297909369451,0.05106105695972706,0.20988103462248936,0.5242256736889341,0.2658932916885765,0.3251685159954974,0.5493792039277426,0.12545228007675988
15,test,1977,11033.0,0.5464465643042866,0.3920484825622203,0.061504953133493134,0.21245888993054768,0.7333456758009975,0.054195434268454745,0.20513204848778843,0.5247990953732498,0.2700688561389618,0.32134583424087426,0.5500644179121559,0.1285897478469699
16,test,2742,11034.0,0.5451777673469311,0.3912148179664576,0.06360741468661132,0.20700862776162438,0.7356615606634205,0.05732981157495513,0.2003830623501225,0.5253725170579239,0.2742444205919537,0.317523152486226,0.550749631895934,0.13172721561784004
17,test,3214,11035.0,0.5439089703886103,0.39038115337005935,0.06570987624133034,0.20155836559656687,0.7379774455241921,0.06046418887924102,0.19563407620949044,0.5259459387429517,0.2784199850475578,0.3137004707315559,0.5514348458790678,0.1348646833893764
18,test,3448,11036.0,0.5426401734293225,0.38954748877302703,0.06781233779765043,0.19610810343536536,0.7402933303833281,0.06359856618130653,0.19088509006589482,0.5265193604283417,0.28259554950576343,0.3098777889768609,0.5521200598615656,0.1380021511615735
19,test,2653,11037.0,0.5413713764690694,0.3887138241753592,0.06991479935557134,0.19065784127803126,0.7426092152408179,0.0667329434811508,0.18613610391933452,0.5270927821140894,0.2867711139665761,0.3060551072221451,0.5528052738434222,0.14113961893443275
20,test,2114,11038.0,0.5401025795078493,0.3878801595770573,0.07201726091509332,0.1852075791245531,0.7449251000966722,0.06986732077877472,0.1813871177698092,0.5276662038001954,0.29094667842999544,0.3022324254674039,0.5534904878246417,0.14427708670795453
21,test,2062,11039.0,0.5388337825456649,0.3870464949781188,0.07411972247621625,0.1797573169749424,0.7472409849508802,0.07300169807417735,0.17663813161731795,0.5282396254866553,0.29512224289602684,0.2984097437126418,0.5541757018052181,0.14741455448214014
22,test,1480,11040.0,0.5375649855825134,0.3862128303785466,0.07622218403893999,0.17430705482918757,0.7495568698034527,0.07613607536735968,0.17188914546186296,0.5288130471734772,0.29929780736465983,0.2945870619578546,0.5548609157851588,0.1505520222569865
23,test,2979,11041.0,0.5362961886183949,0.38537916577834025,0.0783246456032648,0.16885679268730028,0.7518727546543791,0.07927045265832067,0.16714015930343737,0.5293864688606605,0.30347337183590206,0.2907643802030442,0.55554612976446,0.15368949003249585
24,test,1277,11042.0,0.5350273916533111,0.3845455011774984,0.08042710716919042,0.16340653054926993,0.7541886395036752,0.08240482994705489,0.16239117314205265,0.5299598905481986,0.30764893630974877,0.2869416984482112,0.5562313437431241,0.1568269578086647
