window_index,split,n_samples,t_window,M_r0_c0,M_r0_c1,M_r0_c2,M_r1_c0,M_r1_c1,M_r1_c2,M_r2_c0,M_r2_c1,M_r2_c2,score_mean_-1,score_mean_0,score_mean_1
0,val,4,11018.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.32646018661507376,0.29408225753863654,0.37945755584628976,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3310422844272468,0.32024964140176776,0.3487080741709855
1,val,4,11019.0,0.35771017815404244,0.34794782976331323,0.2943419920826444,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3237832735635004,0.3479687044813626,0.32824802195513697,0.33827559501695875,0.3430832891926697,0.3186411157903716
2,val,8,11020.0,0.38120720485523896,0.36068391013512324,0.25810888500963775,0.33665136084545694,0.37371607184220335,0.2896325673123397,0.31419458619273766,0.3628860310598002,0.32291938274746207,0.3440177172978112,0.365762004345709,0.29022027835647984
3,val,6,11021.0,0.4036362073567049,0.3714827228922096,0.2248810697510854,0.33641801837907814,0.41457398891087405,0.24900799271004775,0.3045822445642175,0.37806102952378684,0.31735672591199565,0.3482121567666669,0.3880392471089569,0.26374859612437623
4,val,2,11022.0,0.42486939142138025,0.38035294429669364,0.19477766428192608,0.332801837112429,0.45527092709985123,0.21192723578771985,0.2949617964880251,0.3934675093023829,0.31157069420959194,0.3508776750072781,0.4096971268996426,0.23942519809307927
5,val,7,11023.0,0.44483587957230325,0.38735929492854465,0.1678048254991521,0.3261083155213187,0.495230606007535,0.17866107847114635,0.2853492547526627,0.40907753065751695,0.3055732145898204,0.35209781661542827,0.43055581053119885,0.21734637285337297
6,val,9,11024.0,0.46351461624441515,0.3926091711397226,0.14387621261586223,0.3167419089784025,0.5339646845829316,0.14929340643866595,0.2757609778817455,0.42486159008794433,0.29937743203031025,0.3520058343681877,0.4504784819368662,0.19751568369494618
7,val,16,11025.0,0.480925258320848,0.39623919086615983,0.12283555081299229,0.30516477484668936,0.5710877009757357,0.12374752417757501,0.2662135428847774,0.4407888310203081,0.2929976260949146,0.35076785868410487,0.46937190762073444,0.17986023369516058
8,val,54,11026.0,0.4971184499140345,0.39840296087209065,0.1044785892138749,0.2918582583010545,0.6063198589564449,0.10182188274250074,0.2567236120099973,0.4568272768404857,0.28644911114951693,0.34856677340836206,0.48718336555634034,0.16424986103529748
9,val,165,11027.0,0.5121665358049898,0.399260833454295,0.08857263074071518,0.27729113973578395,0.6394803446513689,0.08322851561284719,0.24730779571557363,0.4729440826915662,0.27974812159286017,0.3455884904187825,0.50389508693241,0.15051642264880752
10,val,685,11028.0,0.5261553845849636,0.3989719504016781,0.07487266501335829,0.2618964885611774,0.6704745292629392,0.06762898217588345,0.23798251422287034,0.4891058019264867,0.272911683850643,0.3420114624563371,0.5195174271970346,0.13847111034662826
11,val,1233,11029.0,0.5391776513383281,0.39768852655039993,0.06313382211127204,0.2460571582230813,0.699278238678851,0.054664603098067734,0.22876386009451205,0.5052786626769874,0.2659574772285006,0.3379995565519738,0.5340818093020795,0.1279186341459468
12,val,614,11030.0,0.5513275502333261,0.3955521127248964,0.05312033704177748,0.23009877586395883,0.7259215990306757,0.043979625105365516,0.21966746428590506,0.5214288497050136,0.2589036860090815,0.33369793012773,0.5476341871535285,0.1186678827187415
13,val,519,11031.0,0.5626970370108295,0.3926914777416226,0.04461148524754798,0.21428852521581962,0.7504741320792587,0.035237342704921716,0.21070836805037738,0.5375227865512524,0.25176884539837024,0.3292313100923422,0.560229465457378,0.11053922445027997
14,val,1128,11032.0,0.5733732083158802,0.38922172981493425,0.03740506186918554,0.1988379436044717,0.773032005571817,0.028130050823711172,0.20190090293727952,0.5535274129948554,0.2445716840678651,0.32470401828587714,0.5719270494605356,0.10336893225358727
15,test,1977,11033.0,0.5834366895172542,0.3852443279250601,0.03131898255768555,0.18390816444805505,0.7937077538067272,0.022384081745217815,0.19325858091466158,0.569410452988345,0.23733096609699342,0.32020114495999025,0.5827875115733775,0.09701134346663226
16,test,2742,11034.0,0.5929607851644857,0.38084768847137307,0.02619152636414131,0.16961637331171192,0.8126223955565519,0.017761231131736197,0.18479399638199218,0.5851406685251092,0.23006533509289878,0.31579038495272993,0.5928702508510114,0.09133936419625877
17,test,3214,11035.0,0.6020111900161208,0.37610815455816377,0.021880655425715354,0.15604259818192515,0.8298996625105908,0.014057739307484125,0.17651874152481045,0.6006880953201654,0.2227931631550242,0.3115241765742855,0.6022319707963066,0.08624385262940788
18,test,3448,11036.0,0.6106460916905746,0.3710911541845334,0.018262754124891988,0.1432362629861923,0.8456619647612954,0.011101772252512293,0.16844333611510098,0.6160242567189015,0.21553240716599753,0.3074418969306226,0.6109257918882435,0.08163231118113394
19,test,2653,11037.0,0.6189165307605529,0.36585242428075054,0.015231044958696677,0.13122217431263813,0.8600277143094943,0.008750111377867574,0.1605771724925664,0.6311223528697671,0.20830047463766654,0.3035719591885858,0.6190008304866707,0.0774272103247436
20,test,2114,11038.0,0.6268669161969633,0.3604392182337045,0.012693865569332191,0.12000578396601257,0.8731096661766461,0.006884549857341388,0.152928476087194,0.645957422879014,0.20111410103379201,0.2999337254167233,0.6265021024297882,0.07356417215348852
21,test,2062,11039.0,0.6345356214607297,0.3548914455539476,0.010572932985322718,0.10957768448594567,0.885013993901951,0.005408321612103143,0.14550428147646877,0.6605064783807685,0.1939892401427628,0.2965391958077147,0.633470639278889,0.06999016491339623
22,test,1480,11040.0,0.6419556086948278,0.3492427149151063,0.008801676390065927,0.09991736454106549,0.8958398762923029,0.004242759166631703,0.13831042362400695,0.6747486076764033,0.18694096869958982,0.29339446561996674,0.6399437329612708,0.06666180141876248
23,test,2979,11041.0,0.6491550456561016,0.34352126753854473,0.007323686805353675,0.0909962891125362,0.9056794269477138,0.003324283939749999,0.1313515436312847,0.6886650502973536,0.17998340607136176,0.29050095946664084,0.645955248261204,0.06354379227215515
