window_index,split,n_samples,t_window,M_r0_c0,M_r0_c1,M_r1_c0,M_r1_c1,score_mean_-1,score_mean_1
0,val,120,1705229588.5,0.49407745770779055,0.5059225422922095,0.4901510503031314,0.5098489496968686,0.492114254005461,0.5078857459945391
1,val,102,1708361530.0,0.47685384570208456,0.5231461542979154,0.4632544161503256,0.5367455838496744,0.47005413092620507,0.5299458690737949
2,val,95,1710635380.0,0.46438123404064896,0.535618765959351,0.44385114051019925,0.5561488594898009,0.45411618727542413,0.545883812724576
3,val,80,1712902674.5,0.4519887704907381,0.548011229509262,0.42467279279748477,0.5753272072025153,0.43833078164411143,0.5616692183558887
4,val,93,1715731200.0,0.43661354540733077,0.5633864545926692,0.4010675647664656,0.5989324352335345,0.4188405550868982,0.5811594449131019
5,val,83,1718367728.0,0.42239025045823186,0.5776097495417682,0.37946809965986666,0.6205319003401333,0.40092917505904924,0.5990708249409508
6,val,128,1721398699.5,0.4061980002332633,0.5938019997667366,0.3552189271918427,0.6447810728081573,0.380708463712553,0.6192915362874469
7,val,109,1723806915.0,0.3934747035353937,0.6065252964646063,0.33646169011153143,0.6635383098884686,0.3649681968234626,0.6350318031765374
8,val,70,1726291795.0,0.3804963238072033,0.6195036761927968,0.31763366116911923,0.6823663388308807,0.34906499248816125,0.6509350075118387
9,val,92,1728970270.5,0.3666960453801464,0.6333039546198537,0.29798743379091785,0.7020125662090821,0.33234173958553215,0.6676582604144679
10,val,84,1731822566.5,0.35223726536321415,0.6477627346367858,0.2778568282461601,0.7221431717538399,0.3150470468046871,0.6849529531953129
11,val,84,1734041206.0,0.3411733327632587,0.6588266672367413,0.2627904489170786,0.7372095510829215,0.30198189084016863,0.6980181091598314
12,val,127,1736944196.0,0.3269552976863332,0.6730447023136668,0.24388838556513415,0.7561116144348659,0.2854218416257337,0.7145781583742663
13,val,72,1739668376.0,0.3138955261406624,0.6861044738593376,0.22700787341149348,0.7729921265885066,0.27045169977607797,0.729548300223922
14,val,75,1742256000.0,0.30175715317965784,0.6982428468203421,0.21175353885470666,0.7882464611452933,0.25675534601718225,0.7432446539828177
15,test,79,1745074006.0,0.28884675019067496,0.711153249809325,0.19600947895642823,0.8039905210435717,0.2424281145735516,0.7575718854264484
16,test,76,1747641472.0,0.27737449964594146,0.7226255003540586,0.18245029390342732,0.8175497060965727,0.2299123967746844,0.7700876032253157
17,test,126,1749802827.0,0.2679376132472473,0.7320623867527527,0.17161006205167384,0.8283899379483262,0.21977383764946057,0.7802261623505394
18,test,109,1752624000.0,0.2559304880224685,0.7440695119775316,0.1582369575611311,0.8417630424388689,0.2070837227917998,0.7929162772082002
19,test,250,1754136078.5,0.2496421456674041,0.7503578543325959,0.1514244094195096,0.8485755905804904,0.20053327754345684,0.7994667224565432
20,test,78,1758067308.0,0.23378155325731012,0.7662184467426899,0.13483800951696595,0.8651619904830341,0.18430978138713805,0.8156902186128621
21,test,66,1760541673.0,0.22416436998254247,0.7758356300174576,0.12520401032673556,0.8747959896732644,0.174684190154639,0.825315809845361
22,test,74,1763249453.0,0.2139662543567111,0.786033745643289,0.11534324183817679,0.8846567581618232,0.16465474809744396,0.8353452519025562
23,test,62,1765861904.5,0.20445121806081867,0.7955487819391813,0.10647673554037168,0.8935232644596284,0.15546397680059518,0.8445360231994048
24,test,91,1768582463.0,0.1948804579417879,0.8051195420582121,0.0978869155179219,0.902113084482078,0.1463836867298549,0.8536163132701451
25,test,57,1771200000.0,0.18599635664617925,0.8140036433538208,0.09021105730265515,0.9097889426973449,0.1381037069744172,0.8618962930255829
26,test,47,1773108102.0,0.17971926688536274,0.8202807331146373,0.0849617105272938,0.9150382894727062,0.13234048870632828,0.8676595112936718
