window_index,split,n_samples,t_window,M_r0_c0,M_r0_c1,M_r0_c2,M_r1_c0,M_r1_c1,M_r1_c2,M_r2_c0,M_r2_c1,M_r2_c2,score_mean_-1,score_mean_0,score_mean_1
0,val,4,11018.0,0.3374180645435133,0.6400471655435347,0.022534769912952033,0.31819290487418134,0.6696776296953243,0.012129465430494415,0.060296347596541226,0.7943138004350526,0.14538985196840618,0.23863577233807862,0.7013461985579705,0.060018029103950876
1,val,4,11019.0,0.3962040367378697,0.5780019887295919,0.02579397453253849,0.3848036412343942,0.6016201200652748,0.013576238700331129,0.07384563817565822,0.768499746260086,0.15765461556425575,0.28495110538264073,0.6493739516849842,0.06567494293237512
2,val,8,11020.0,0.44592505463600446,0.5252161351068408,0.028858810257154758,0.4255786786580058,0.5592770727195355,0.015144248622458759,0.09013668754226986,0.7392564498521011,0.17060686260562896,0.32054680694542675,0.6079165525594924,0.07153664049508084
3,val,6,11021.0,0.4856622969841304,0.4825582901696977,0.0317794128461719,0.4413935957810811,0.5415776735118164,0.017028730707102323,0.10907257750940082,0.7071442884683953,0.18378313402220398,0.3453761567582041,0.5770934173833031,0.07753042585849274
4,val,2,11022.0,0.5157583765301296,0.4496233343401301,0.03461828912974039,0.436016760326,0.5446488276571932,0.01933441201680674,0.13022422752647533,0.6730927099559775,0.1966830625175472,0.3606664547942017,0.5557882906511004,0.08354525455469813
5,val,7,11023.0,0.5372120856719431,0.4253612636061879,0.037426650721868994,0.41414946067481456,0.5637775107253022,0.02207302859988303,0.152774695389107,0.638387355050584,0.2088379495603091,0.36804541391195494,0.5425087097940248,0.0894458762940204
6,val,9,11024.0,0.5512731963549521,0.408493921846548,0.04023288179849991,0.38095883386160667,0.5938709021749344,0.025170263963458915,0.17552905095236043,0.6045860754339886,0.21988487361365092,0.3692536937229731,0.5356502998184904,0.09509600645853661
7,val,16,11025.0,0.5592311569851218,0.3977297568678044,0.043039086147073816,0.34190142125015893,0.6296103315935633,0.028488247156277846,0.1969987300038229,0.5733803399795647,0.22962093001661232,0.36604376941303457,0.5335734761469775,0.100382754439988
8,val,54,11026.0,0.562332909670399,0.39184487413593033,0.045822216193670814,0.30226937299682005,0.6658602923174871,0.0318703346856928,0.21554271960082794,0.5464423253055962,0.23801495509357584,0.360048334089349,0.5347158305863379,0.10523583532431315
9,val,165,11027.0,0.5617690146607561,0.3896932045268424,0.04853778081240155,0.26654962754641853,0.698254387626983,0.03519598482659846,0.2295297251949372,0.5253034966954507,0.24516677810961207,0.3526161224673706,0.5377503629497588,0.10963351458287071
10,val,685,11028.0,0.5586874426163029,0.39018743322523347,0.05112512415846373,0.23801294721828595,0.7235672224294732,0.0384198303522409,0.23748800915148685,0.5112927347964694,0.25121925605204376,0.34472946632869184,0.5416824634837253,0.11358807018758278
11,val,1233,11029.0,0.554212498630028,0.3922739165269072,0.053513584843064885,0.2188307477174944,0.7395932592875131,0.041575992994992594,0.23823151244657145,0.5055304686641761,0.2562380188892524,0.33709158626469793,0.5457992148261988,0.1171091989091033
12,val,614,11030.0,0.5494587570308047,0.39491250946399825,0.05562873350519712,0.21070380171169634,0.744550834800289,0.04474536348801457,0.2309784437156369,0.5089449404793543,0.2600766158050088,0.3303803341527127,0.5494694282478806,0.12015023759940684
13,val,519,11031.0,0.5455374607530105,0.39706487458293505,0.05739766466405447,0.21583611057417768,0.7361766833915522,0.04798720603427013,0.21549442510807776,0.5222579474264751,0.2622476274654472,0.325622665478422,0.5518331684669875,0.12254416605459063
14,val,1128,11032.0,0.543556729241662,0.39769102548745894,0.05875224527087924,0.23816439196565492,0.710619032641234,0.05121657539311097,0.19228111399477424,0.5458850200490757,0.2618338659561502,0.32466741173403035,0.5513983593925894,0.12393422887338011
15,test,1977,11033.0,0.5446176722426193,0.39575287953339766,0.05962944822398304,0.2847610537754063,0.6612660589068583,0.05397288731773544,0.16278060775761205,0.5797169770797183,0.2575024151626697,0.3307197779252125,0.5455786385066581,0.1237015835681294
16,test,2742,11034.0,0.5498062669758843,0.3902252743548769,0.059968458669238826,0.366488377956282,0.5784856174817333,0.05502600456198467,0.12947734859428878,0.622811538646391,0.24771111275932028,0.34859066450881837,0.5305074768276671,0.12090185866351459
17,test,3214,11035.0,0.5601757327642488,0.3801191646308707,0.05970510260488061,0.49374645195416045,0.4541942651119788,0.052059282933860834,0.09570114367623354,0.6731278955257459,0.23117096079802052,0.3832077761315476,0.5024804417561984,0.11431178211225397
18,test,3448,11036.0,0.5767065676277998,0.3645281296308275,0.058765302741372656,0.659651959533452,0.2976417813740789,0.042706259092469175,0.06498526231618439,0.7275259199253824,0.20748881775843314,0.43378126315914545,0.4632319436434296,0.102986793197425
19,test,2653,11037.0,0.6002228999013007,0.3427163237169658,0.05706077638173335,0.8215947134698968,0.1502386364607325,0.028166650069370722,0.04010756932268091,0.7821967583002134,0.1776956723771056,0.48730839423129285,0.42505057282597064,0.08764103294273656
20,test,2114,11038.0,0.6312387372718663,0.31426922440905514,0.054492038319078444,0.9297554591419704,0.05588673928930838,0.014357801568721166,0.02229228238448244,0.8334328920715598,0.14427482554395774,0.5277621595994398,0.40119628525664114,0.07104155514391913
21,test,2062,11039.0,0.6697163053589236,0.27931834752637275,0.050965347114703644,0.9788868738620181,0.01540022811338249,0.005712898024599383,0.011076452548174902,0.8783770825568065,0.11054646489501872,0.5532265439230388,0.3910318860655206,0.05574157001144059
22,test,1480,11040.0,0.7147581108898218,0.23881244714006997,0.04642944197010823,0.9949815823578967,0.003202361686830305,0.0018160559552729643,0.004891769130152157,0.9154099957931877,0.07969823507666016,0.5715438207926237,0.385808268206696,0.04264791100068045
23,test,2979,11041.0,0.7643378077584164,0.19473135064538616,0.040930841596197386,0.9990297907481561,0.000504740372798006,0.00046546887904589274,0.0019113403052362576,0.9441254716315065,0.05396318806325735,0.5884263129372697,0.37978718754989693,0.03178649951283355
24,test,1277,11042.0,0.8152763228143521,0.15005342726367543,0.03467024992197241,0.9998445338549332,5.973067489290578e-05,9.573547017378682e-05,0.0006580881902368884,0.9650677723760869,0.0342741394336763,0.6052596482865075,0.3717269767715517,0.023013374941940834
25,test,345,11043.0,0.8636837504149586,0.10829259964976287,0.028023649935278522,0.9999791520494015,5.223237866480146e-06,1.562471273209298e-05,0.00019892843394899337,0.9793998550672569,0.02040121649879402,0.6212872769661031,0.36256589265162886,0.016146830382268218
26,test,23,11044.0,0.9058804827417679,0.0726281123618234,0.021491404896408703,0.9999976714925879,3.315185485963604e-07,1.996988863604001e-06,5.2599663545462116e-05,0.9885768739384123,0.011370526398042298,0.6353102512993004,0.3537351059395948,0.010954642761104867
27,test,125,11045.0,0.9394302413508303,0.04499348080373142,0.015576277845438281,0.9999997878414025,1.499382052128508e-08,1.9716477700408782e-07,1.2119330584086019e-05,0.9940602093915833,0.005927671277832504,0.6464807161742723,0.3463512350630451,0.0071680487626825965
