iso_week,week_start_utc_monday,n_reviews,n_days_with_reviews,min_daily_n,max_daily_n,median_daily_n,mean_daily_n
2024-W01,2024-01-01,8,4,1,3,2.0,2.0
2024-W02,2024-01-08,16,6,1,4,3.0,2.6666666666666665
2024-W03,2024-01-15,13,7,1,3,2.0,1.8571428571428572
2024-W04,2024-01-22,18,6,2,4,3.0,3.0
2024-W05,2024-01-29,14,7,1,4,1.0,2.0
2024-W06,2024-02-05,7,5,1,2,1.0,1.4
2024-W07,2024-02-12,12,4,2,4,3.0,3.0
2024-W08,2024-02-19,14,7,1,3,2.0,2.0
2024-W09,2024-02-26,7,5,1,2,1.0,1.4
2024-W10,2024-03-04,6,4,1,2,1.5,1.5
2024-W11,2024-03-11,5,3,1,2,2.0,1.6666666666666667
2024-W12,2024-03-18,3,2,1,2,1.5,1.5
2024-W13,2024-03-25,14,6,1,3,3.0,2.3333333333333335
2024-W14,2024-04-01,5,4,1,2,1.0,1.25
2024-W15,2024-04-08,13,6,1,3,2.5,2.1666666666666665
2024-W16,2024-04-15,6,3,1,3,2.0,2.0
2024-W17,2024-04-22,4,3,1,2,1.0,1.3333333333333333
2024-W18,2024-04-29,11,6,1,3,2.0,1.8333333333333333
2024-W19,2024-05-06,12,7,1,3,1.0,1.7142857142857142
2024-W20,2024-05-13,18,7,1,6,2.0,2.5714285714285716
2024-W21,2024-05-20,8,4,1,4,1.5,2.0
2024-W22,2024-05-27,6,4,1,2,1.5,1.5
2024-W23,2024-06-03,12,7,1,4,1.0,1.7142857142857142
2024-W24,2024-06-10,5,5,1,1,1.0,1.0
2024-W25,2024-06-17,5,4,1,2,1.0,1.25
2024-W26,2024-06-24,9,5,1,4,1.0,1.8
2024-W27,2024-07-01,12,7,1,3,1.0,1.7142857142857142
2024-W28,2024-07-08,15,6,1,5,2.0,2.5
2024-W29,2024-07-15,25,6,2,7,3.5,4.166666666666667
2024-W30,2024-07-22,13,6,1,5,2.0,2.1666666666666665
2024-W31,2024-07-29,19,5,1,9,3.0,3.8
2024-W32,2024-08-05,9,4,1,3,2.5,2.25
2024-W33,2024-08-12,12,6,1,3,2.0,2.0
2024-W34,2024-08-19,10,6,1,3,1.5,1.6666666666666667
2024-W35,2024-08-26,4,3,1,2,1.0,1.3333333333333333
2024-W36,2024-09-02,7,4,1,3,1.5,1.75
2024-W37,2024-09-09,13,5,1,4,2.0,2.6
2024-W38,2024-09-16,7,6,1,2,1.0,1.1666666666666667
2024-W39,2024-09-23,11,6,1,3,2.0,1.8333333333333333
2024-W40,2024-09-30,11,5,1,4,2.0,2.2
2024-W41,2024-10-07,11,7,1,4,1.0,1.5714285714285714
2024-W42,2024-10-14,6,4,1,2,1.5,1.5
2024-W43,2024-10-21,3,2,1,2,1.5,1.5
2024-W44,2024-10-28,14,5,2,4,3.0,2.8
2024-W45,2024-11-04,10,6,1,3,1.5,1.6666666666666667
2024-W46,2024-11-11,11,7,1,2,2.0,1.5714285714285714
2024-W47,2024-11-18,12,5,2,3,2.0,2.4
