year_month,n_reviews,n_days_with_reviews,min_daily_n,max_daily_n,median_daily_n,mean_daily_n
2024-01,109,30,1,7,3.5,3.6333333333333333
2024-02,111,29,1,10,3.0,3.8275862068965516
2024-03,60,26,1,7,2.0,2.3076923076923075
2024-04,99,28,1,9,3.0,3.5357142857142856
2024-05,70,29,1,5,2.0,2.413793103448276
2024-06,65,29,1,5,2.0,2.2413793103448274
2024-07,58,27,1,5,2.0,2.1481481481481484
2024-08,57,26,1,5,2.0,2.1923076923076925
2024-09,57,23,1,7,2.0,2.4782608695652173
2024-10,116,31,1,8,4.0,3.7419354838709675
2024-11,155,30,2,12,4.0,5.166666666666667
2024-12,178,31,1,11,6.0,5.741935483870968
2025-01,206,30,1,14,6.5,6.866666666666666
2025-02,164,28,2,12,6.0,5.857142857142857
2025-03,205,31,1,12,6.0,6.612903225806452
2025-04,144,30,1,11,5.0,4.8
2025-05,165,31,1,10,5.0,5.32258064516129
2025-06,170,30,1,10,5.0,5.666666666666667
2025-07,160,31,2,9,5.0,5.161290322580645
2025-08,152,30,1,11,4.0,5.066666666666666
2025-09,151,30,1,12,5.0,5.033333333333333
2025-10,180,31,2,11,5.0,5.806451612903226
2025-11,154,30,1,11,4.0,5.133333333333334
2025-12,181,31,1,13,6.0,5.838709677419355
2026-01,204,31,1,18,6.0,6.580645161290323
2026-02,122,27,1,10,4.0,4.518518518518518
2026-03,84,21,2,8,3.0,4.0
