text,rating,date,class
A localização do hotel é ótima! O bar a céu aberto tem uma vista linda. O hotel atende bem para sua categoria. Eu certamente voltaria.,10,2024-01-02 00:00:00+00,1
"The pool at the rooftop is a nice spot to spend the hot days of Foz do Iguaçu, the staff was very friendly specially Larissa that welcomed us and made us feel home! Snacks, beers and drinks are also of a taste.",8,2024-01-03 00:00:00+00,1
"O hotel é ótimo! Novo, com quartos limpos e com um rooftop lindo e aconchegante. Destaque para a atenção e cordialidade do atendimento do bar da cobertura, em especial Larissa, Victor e Paulinho que foram muito prestativos e atenciosos no atendimento e nas nossas solicitações!
Com a experiência vivida, recomendo a todos o hotel quando visitarem Foz!",10,2024-01-04 00:00:00+00,1
"Já fiquei outras vezes neste hotel e desta vez deixou a desejar. Ar condicionado que não funciona, luz queimada no quarto, chão bem sujo do quarto. O café é razoável, tem o básico necessário e os funcionários são bem educados e prestativos.",6,2024-01-04 00:00:00+00,0
"Um hotel que funciona bem para uma estadia de poucos dias ou uma parada estratégica. Como o hotel possui muitos quartos e tem um grande fluxo de hóspedes, apenas 2 elevadores não dão conta, gerando uma boa espera dependendo do horário.
 Tem boas camas, é limpo, porém serviço de camareiras é lento e básico, para trocarem os lençóis é um sacrifício. Já o café da manhã é razoável, mas variado.
Vale o custo benefício.",6,2024-01-04 00:00:00+00,0
"probably not fair of me to only state the negatives about my stay here, but i’m sure other reviews will cover the “pros”
 i came here with my other half to celebrate his bday. on the 3rd day, we noticed the ac unit was dripping water & wet his shoes. we let them know on our way out & after being out all day, it was still dripping when we got back at night. 
i added the romance package, which includes special romantic decore, a bottle of bubbly, a plate of cold cuts, and breakfast in bed for one day of our stay. i had asked to have the breakfast for friday, but it arrived thursday morning at 7am which woke us up from our sleep. the breakfast was meant to be delivered to our room on the day we had an early start for a tour lasting 10 hours. before heading out for the day on thursday, i checked with reception to verify everything was still confirmed for them to decorate the room after noon while we were out and have the food and bottle of bubbly delivered to the room after 8pm before we arrived back to our room.  it was meant to be a surprise and after a long day and a little stressful with everything we did, i was excited to surprise him and wind down before the long day tomorrow. i’m beyond disappointed. after processing the situation, we decided to call the reception to ask for a manager to address an issue, but there was no manager on the property. instead, an employee from the hotel came to our room and listened to everything i mentioned above. after hearing everything, they said they couldn’t do anything, but would send someone else to come and take our complaint that would then be relayed to the manager the following morning. they said they would normally change us to another room, but that wasn’t possible tonight. overall, i’m greatly disappointed. we won’t be spending much time at the hotel until we leave in the crack of dawn on saturday after being out all day on friday, so any resolution at this point won’t really matter because we will be leaving. i wish i could recommend this place for the obvious positives, the location, etc, but i would not recommend it.",2,2024-01-04 00:00:00+00,-1
"probably not fair of me to only state the negatives about my stay here, but i'm sure other reviews will cover the ""pros""
i came here with my other half to celebrate his bday. on the 3rd day, we noticed the ac unit was dripping water & wet his shoes. we let them know on our way out & after being out all day, it was still dripping when we got back at night. there was no communication from staff about the issue not being resolved.
i added the romance package, which includes special romantic decore, a bottle of bubbly, a plate of cold cuts, and breakfast in bed for one day of our stay. i had asked to have the breakfast for friday, but it arrived thursday morning at 7am which woke us up from our sleep. the breakfast was meant to be delivered to our room on the day we had an early start for a tour lasting 10 hours. before heading out for the day on thursday, i checked with reception to verify everything was still confirmed for them to decorate the room after noon while we were out and have the food and bottle of bubbly delivered to the room after 8pm before we arrived back to our room. it was meant to be a surprise and after a long day and a little stressful with everything we did, i was excited to surprise him and wind down before the long day tomorrow. I'm beyond disappointed. after processing the situation, we decided to call the reception to ask for a manager to address an issue, but there was no manager on the property. instead, an employee from the hotel came to our room and listened to everything i mentioned above. after hearing everything, they said they couldn't do anything, but would send someone else to come and take our complaint that would then be relayed to the manager the following morning. they said they would normally change us to another room, but that wasn't possible tonight. I understand why it wasn’t possible to switch us to another room at this hour of the night, but the issue was brought to their attention this morning and they could have thought of this ahead of time if they couldn’t fix the ac unit during the day. overall, i'm greatly disappointed. we won't be spending much time at the hotel until we leave in the crack of dawn on saturday after being out all day on friday, so any resolution at this point won't really matter because we will be leaving. i wish i could recommend this place for the obvious positives, the location, etc, but i would not recommend it.",2,2024-01-05 02:16:20+00,-1
"Minha experiência no hotel foi extremamente desagradável. Meu namorado solicitou um café da manhã surpresa para mim, para ser entregue no dia 05/01, sexta-feira, mas, inexplicavelmente, o entregaram um dia antes, interrompendo nosso descanso na quinta-feira, onde havíamos saídos com um amigos e chegamos tarde na noite anterior. Além disso, mesmo após reclamar do ar condicionado pingando e molhando meu tênis no dia 04/01, o problema persistiu, e não houve realocação para outro quarto. A tão esperada surpresa prometida pelo meu namorado para mim para a noite do dia 04/01 também não foi realizada, e, para piorar, FOI CONFIRMADO para ele pela manhã que teria, e não havia gerente disponível para resolver a situação às 21 horas, quando chegamos. Total falta de consideração com os hóspedes e falhas graves na prestação de serviços. Não recomendo a ninguém.",2,2024-01-05 23:17:11+00,-1
"O hotel muito bacana, localização excelente , oferece uma vista privilegiada para o Paraguai e o por do Sol, funcionários muito atenciosos, destaco para o atendimento dos garçons Matheus, Larissa, Vitor e Maik, e a camareira do nosso andar.",10,2024-01-07 00:00:00+00,1
"Galera atenciosa, fazendo com que a gente se sinta à vontade e bem. Esclarecendo sobre os drinks, aliás, são ótimos! Amei caipiroska, gin tropical 🥰 Os atendentes dispostos e nos tratando bem, o por do sol é lindo e fica mais lindo ainda anoitecendo. Obrigada pela recepção, espero voltar 🫶🏻",10,2024-01-07 00:00:00+00,1
